variable,x_value,alpha_target,alpha_fitted
f_diesel,1.4586729246075265,1.0,1.0
f_diesel,10.595822631891224,1.0,1.0
f_diesel,19.73297233917492,1.0,1.0
f_diesel,28.87012204645862,1.0,1.0
f_diesel,38.00727175374232,1.0,1.0
f_diesel,47.14442146102601,0.99,0.9887481179068464
f_diesel,56.28157116830971,0.97,0.964052186225095
f_diesel,65.41872087559341,0.96,0.9501193875090288
f_diesel,74.5558705828771,0.95,0.9403687310208682
f_diesel,83.6930202901608,0.94,0.9328608200472486
f_diesel,92.8301699974445,0.93,0.926754464559225
f_diesel,101.9673197047282,0.92,0.9216078032197021
f_diesel,111.1044694120119,0.92,0.9171597508359977
f_diesel,120.24161911929554,0.91,0.9132431182180348
f_diesel,129.37876882657923,0.91,0.9097443695723402
f_diesel,138.51591853386293,0.91,0.906582867562552
f_diesel,147.65306824114663,0.9,0.9036992750952966
f_diesel,156.79021794843032,0.9,0.9010486567712015
f_diesel,165.92736765571402,0.9,0.8985961651450319
f_diesel,175.06451736299772,0.9,0.8963142301867694
f_diesel,184.20166707028145,0.9,0.8941806641114519
f_diesel,193.3388167775651,0.89,0.8921773455992723
f_diesel,202.4759664848488,0.89,0.8902892830417806
f_diesel,211.6131161921325,0.89,0.8885039329014092
f_diesel,220.7502658994162,0.89,0.8868106941010461
f_diesel,229.8874156066999,0.89,0.8852005265618184
f_diesel,239.0245653139836,0.89,0.8836656590148536
f_diesel,248.1617150212673,0.89,0.8821993621326282
f_diesel,257.298864728551,0.88,0.8807957702044081
f_diesel,266.4360144358347,0.88,0.8794497394010117
f_diesel,275.5731641431184,0.88,0.8781567339738586
f_diesel,284.7103138504021,0.88,0.8769127340314816
f_diesel,293.8474635576858,0.88,0.8757141601628596
f_diesel,302.9846132649695,0.88,0.8745578113444035
f_diesel,312.1217629722532,0.88,0.8734408134167965
f_diesel,321.2589126795369,0.88,0.8723605760434676
f_diesel,330.3960623868206,0.88,0.8713147565284945
f_diesel,339.5332120941043,0.88,0.8703012292225472
f_gasoline,1.2731034248414517,0.87,0.8798153582613268
f_gasoline,10.7763955384346,0.87,0.8809573814206915
f_gasoline,20.27968765202769,0.87,0.8820994045800561
f_gasoline,29.78297976562078,0.88,0.8832414277394206
f_gasoline,39.28627187921387,0.88,0.8843834508987852
f_gasoline,48.78956399280696,0.88,0.8855254740581497
f_gasoline,58.29285610640005,0.88,0.8866674972175144
f_gasoline,67.79614821999314,0.88,0.8878095203768789
f_gasoline,77.29944033358623,0.88,0.8889515435362435
f_gasoline,86.80273244717932,0.89,0.890093566695608
f_gasoline,96.30602456077249,0.89,0.8912355898549726
f_gasoline,105.8093166743655,0.89,0.8923776130143373
f_gasoline,115.31260878795864,0.89,0.8935196361737018
f_gasoline,124.8159009015518,0.89,0.8946616593330664
f_gasoline,134.31919301514483,0.89,0.8958036824924309
f_gasoline,143.82248512873798,0.9,0.8969457056517955
f_gasoline,153.325777242331,0.9,0.8980877288111602
f_gasoline,162.82906935592416,0.9,0.8992297519705247
f_gasoline,172.3323614695172,0.9,0.9003717751298893
f_gasoline,181.83565358311037,0.9,0.9015137982892538
f_gasoline,191.33894569670335,0.9,0.9026558214486184
f_gasoline,200.84223781029647,0.91,0.903797844607983
f_gasoline,210.34552992388967,0.91,0.9049398677673476
f_gasoline,219.8488220374827,0.91,0.9060818909267122
f_gasoline,229.35211415107585,0.91,0.9072239140860767
f_gasoline,238.8554062646689,0.91,0.9083659372454413
f_gasoline,248.35869837826203,0.91,0.9095079604048059
f_gasoline,257.86199049185507,0.91,0.9106499835641705
f_gasoline,267.3652826054482,0.91,0.9117920067235351
f_gasoline,276.86857471904125,0.91,0.9129340298828996
f_gasoline,286.3718668326344,0.91,0.9140760530422642
f_gasoline,295.87515894622754,0.91,0.9152180762016288
f_gasoline,305.3784510598206,0.91,0.9163600993609934
f_gasoline,314.8817431734137,0.91,0.9175021225203579
f_gasoline,324.3850352870068,0.91,0.9186441456797225
f_gasoline,333.8883274005999,0.91,0.9197861688390871
f_gasoline,343.39161951419294,0.91,0.9209281919984517
f_gasoline,352.8949116277861,0.91,0.9220702151578163
S_diesel_lag,0.2681327931275753,0.87,0.8676876405213868
S_diesel_lag,0.9138478645691102,0.87,0.8688324113522374
S_diesel_lag,1.559562936010645,0.87,0.8699771821830881
S_diesel_lag,2.20527800745218,0.87,0.8711219530139387
S_diesel_lag,2.8509930788937146,0.87,0.8722667238447893
S_diesel_lag,3.496708150335249,0.87,0.8734114946756399
S_diesel_lag,4.1424232217767845,0.88,0.8745562655064906
S_diesel_lag,4.78813829321832,0.88,0.8757010363373412
S_diesel_lag,5.433853364659854,0.88,0.8768458071681918
S_diesel_lag,6.079568436101389,0.88,0.8779905779990425
S_diesel_lag,6.725283507542924,0.88,0.8791353488298931
S_diesel_lag,7.370998578984459,0.88,0.8802801196607437
S_diesel_lag,8.016713650425993,0.88,0.8814248904915943
S_diesel_lag,8.662428721867528,0.88,0.882569661322445
S_diesel_lag,9.308143793309064,0.88,0.8837144321532956
S_diesel_lag,9.9538588647506,0.89,0.8848592029841462
S_diesel_lag,10.599573936192131,0.89,0.8860039738149968
S_diesel_lag,11.245289007633668,0.89,0.8871487446458475
S_diesel_lag,11.891004079075202,0.89,0.8882935154766981
S_diesel_lag,12.536719150516738,0.89,0.8894382863075487
S_diesel_lag,13.182434221958273,0.89,0.8905830571383994
S_diesel_lag,13.828149293399807,0.89,0.89172782796925
S_diesel_lag,14.473864364841342,0.89,0.8928725988001006
S_diesel_lag,15.119579436282876,0.89,0.8940173696309512
S_diesel_lag,15.76529450772441,0.9,0.8951621404618019
S_diesel_lag,16.411009579165945,0.9,0.8963069112926525
S_diesel_lag,17.056724650607478,0.9,0.8974516821235031
S_diesel_lag,17.702439722049014,0.9,0.8985964529543538
S_diesel_lag,18.34815479349055,0.9,0.8997412237852044
S_diesel_lag,18.993869864932083,0.9,0.900885994616055
S_diesel_lag,19.63958493637362,0.9,0.9020307654469056
S_diesel_lag,20.285300007815152,0.9,0.9031755362777563
S_diesel_lag,20.93101507925669,0.9,0.9043203071086069
S_diesel_lag,21.576730150698225,0.91,0.9054650779394575
S_diesel_lag,22.22244522213976,0.91,0.9066098487703081
S_diesel_lag,22.86816029358129,0.91,0.9077546196011588
S_diesel_lag,23.513875365022827,0.91,0.9088993904320094
S_diesel_lag,24.159590436464363,0.91,0.91004416126286
S_diesel_lag,24.8053055079059,0.91,0.9111889320937107
S_diesel_lag,25.451020579347432,0.91,0.9123337029245613
S_diesel_lag,26.09673565078897,0.91,0.9134784737554119
S_diesel_lag,26.7424507222305,0.91,0.9146232445862625
S_diesel_lag,27.38816579367204,0.92,0.9157680154171132
S_diesel_lag,28.033880865113574,0.92,0.9169127862479638
S_diesel_lag,28.679595936555103,0.92,0.9180575570788144
S_diesel_lag,29.325311007996643,0.92,0.919202327909665
S_diesel_lag,29.97102607943817,0.92,0.9203470987405157
S_diesel_lag,30.61674115087971,0.92,0.9214918695713663
S_diesel_lag,31.262456222321244,0.92,0.9226366404022169
S_diesel_lag,31.90817129376278,0.92,0.9237814112330676
S_diesel_lag,32.55388636520432,0.93,0.9249261820639182
S_diesel_lag,33.19960143664586,0.93,0.9260709528947688
S_diesel_lag,33.845316508087386,0.93,0.9272157237256194
S_diesel_lag,34.49103157952892,0.93,0.9283604945564701
S_diesel_lag,35.13674665097046,0.93,0.9295052653873207
S_diesel_lag,35.782461722411995,0.93,0.9306500362181713
S_diesel_lag,36.42817679385353,0.93,0.931794807049022
S_diesel_lag,37.07389186529506,0.93,0.9329395778798726
S_diesel_lag,37.7196069367366,0.93,0.9340843487107232
S_diesel_lag,38.36532200817813,0.94,0.9352291195415738
S_diesel_lag,39.01103707961967,0.94,0.9363738903724245
S_diesel_lag,39.656752151061205,0.94,0.9375186612032751
S_diesel_lag,40.302467222502735,0.94,0.9386634320341257
S_diesel_lag,40.94818229394427,0.94,0.9398082028649763
S_diesel_lag,41.59389736538581,0.94,0.940952973695827
S_diesel_lag,42.23961243682734,0.94,0.9420977445266776
