scenario,date,month,alpha_gasoline,alpha_diesel,optimal_u_gasoline,optimal_u_diesel,optimal_price_gasoline,optimal_price_diesel,S_gasoline,S_diesel,LC,LF,LV,LT,Lpi,LE,total_loss,f_gasoline,f_diesel,u_hist_gasoline,u_hist_diesel,historical_alpha_gasoline,historical_alpha_diesel,gasoline_price_after,diesel_price_after,grid_step
equal_weight,2016-01-27,2016-01-01,1.0,1.0,-325.7853861508645,-312.9340832286773,6599.214613849135,5657.065916771323,0.0,0.0,-2.377986707624682,0.0,1.090924667062962,0.0,0.030013876674382413,0.0,-0.3135426428647577,-325.7853861508645,-312.9340832286773,0,0,-0.0,-0.0,6925,5970,0.05
equal_weight,2016-02-15,2016-02-01,0.45,0.45,49.858685317241495,47.82665436637754,6649.073299166377,5704.8925711377005,60.93839316551738,58.4547997811281,0.06166202504086083,0.06016189425493047,0.624965589301857,0.07900728140413099,0.0,0.0,0.09864617505617172,110.79707848275888,106.28145414750564,0,0,0.0,0.0,6925,5970,0.05
equal_weight,2016-02-29,2016-02-01,0.8,0.75,44.88180614642341,40.501732064612966,6693.955105312801,5745.3943032023135,53.877326752468015,54.418937201660654,0.045619579403592715,0.0500164841544519,0.011372721951415327,0.003556997459568959,0.0,0.0,0.018992023178311977,56.10225768302926,54.00230941948396,0,0,0.0,0.0,6925,5970,0.05
equal_weight,2016-03-14,2016-03-01,0.6,0.6,171.38764384700758,164.81828904558208,6865.342749159809,5910.212592247895,151.972557958066,147.97211540488385,0.7092763853448901,0.38080133203389704,0.24617129741681154,0.27855922420733575,0.0,0.0,0.2709717792271833,285.646073078346,274.69714840930345,0,0,0.0,0.0,6925,5970,0.05
equal_weight,2016-03-28,2016-03-01,0.8,0.75,118.75339164683565,107.10953755622839,6984.096140806644,6017.3221298041235,136.06913848235507,139.28365996882815,0.2981941880746279,0.32428073990394973,0.092304802078806,0.024884863642499137,0.0,0.0,0.12575524269967442,148.44173955854455,142.81271674163784,0,0,0.0,0.0,6925,5970,0.05
equal_weight,2016-04-12,2016-04-01,0.85,0.95,-85.85249866538618,-92.16835548021969,6898.243642141258,5925.153774323904,80.09795599669805,92.64759590027339,-0.18774508958139766,0.13147812667912526,0.2341290542077333,0.0024052001880003403,0.0,0.0,0.013717788132204357,-101.00293960633668,-97.019321558126,0,0,-0.0,-0.0,6925,5970,0.05
equal_weight,2016-04-27,2016-04-01,0.65,0.6,186.11857768061165,165.17837958558727,7084.362219821869,6090.332153909491,156.28626487186412,174.97223685391623,0.7135913731852837,0.4793497288231483,0.5034209288326542,0.2517788876652165,0.0,0.0,0.3103916910245221,286.3362733547871,275.2972993093121,165,160,0.576245538390295,0.5811898641992522,7090,6130,0.05
equal_weight,2016-05-12,2016-05-01,0.8,0.8,140.07476074666502,134.73156638386394,7224.436980568534,6225.063720293355,144.4190755969711,156.16345739370735,0.4227297809893539,0.39193692565488986,0.12338379441796068,0.0261718136653352,0.0,0.0,0.16368931309752027,175.09345093333127,168.4144579798299,120,115,0.6853483060636648,0.6828392370788792,7210,6245,0.05
equal_weight,2016-05-26,2016-05-01,0.8,0.75,153.14094883797506,138.0540025002639,7377.577929406509,6363.117722793619,139.37859012737354,155.33242100901646,0.447267524347432,0.37973774821613016,0.13031053442629795,0.04144621284504785,0.0,0.0,0.1693523208161796,191.4261860474688,184.0720033336852,210,200,1.097028595387286,1.0865313376170551,7420,6445,0.05
equal_weight,2016-06-09,2016-06-01,0.95,0.9,95.22156008102651,86.79362028296352,7472.7994894875355,6449.911343076582,102.57667414605758,118.37643029330745,0.1676812904259562,0.214710189672347,0.06417602308024456,0.0014524852501089365,0.005924760326376085,0.0,0.07550951607073864,100.23322113792264,96.43735586995946,110,110,1.097440536692302,1.14063683110857,7530,6555,0.05
equal_weight,2016-06-23,2016-06-01,0.0,0.0,0.0,0.0,7472.7994894875355,6449.911343076582,71.80367190224031,82.86350120531522,0.0,0.10520799293945006,0.037000841131768505,0.0,0.005924760326376085,0.0,0.023703979701025554,0.0,0.0,0,0,,,7530,6555,0.05
equal_weight,2016-07-07,2016-07-01,0.0,0.0,0.0,0.0,7472.7994894875355,6449.911343076582,50.26257033156821,58.00445084372065,0.0,0.05182214771823641,0.0,0.0,0.030013876674382413,0.0,0.009327986589282553,0.0,0.0,0,0,,,7530,6555,0.05
