segment_id,start_date,end_date,rows,time_weight_days,segment_mae,beta,alpha,pi0,lambda
1,2016-05-12,2016-09-30,9,141,51.9141086174658,2582.793373766445,1.0150618876538515,2582.7933737664443,0.0
2,2016-11-02,2017-07-07,15,247,47.0714699848877,2108.1769676111844,1.4607269208504965,2108.176967611182,0.0
3,2017-08-05,2018-01-27,8,175,45.50694313465817,2343.4283732370895,1.2991850104577662,2343.4283732370886,0.0
4,2018-02-10,2018-06-09,8,119,68.41927177658158,1936.6221141831852,1.5714340370942455,1936.622114183185,0.0
5,2018-06-26,2018-10-01,8,97,107.71660163748197,2270.3370612292647,1.3493499962254725,2270.3370612292642,0.0
6,2018-10-20,2019-01-29,8,101,91.71829107033022,2057.1220404599976,1.5614608563107568,2057.122040459998,0.0
7,2019-02-15,2019-06-12,8,117,72.184053353026,3149.723759400254,0.771990227695273,3149.7237594002536,0.0
8,2019-06-26,2019-11-05,8,132,64.96302713617729,3390.2407711050987,0.5199318077572033,3390.2407711050987,0.0
9,2019-11-19,2020-07-24,8,248,67.64085935493586,2017.7353343794155,1.432089797163624,2017.7353343794157,0.0
10,2020-09-04,2021-01-16,8,134,45.43239144993811,2227.0791754306274,1.2309746905889805,2227.0791754306274,0.0
11,2021-01-30,2021-05-28,8,118,52.99292037758141,2160.292316032693,1.3164422122476305,2160.2923160326923,0.0
13,2022-04-29,2022-08-10,8,103,125.81624727919325,704.847643030569,1.7740207146736888,1832.6031497708566,0.0
14,2022-08-24,2022-12-20,8,118,119.69082948873825,-11145.67372409799,3.3538868313891648,7324.661854510589,0.0
15,2023-01-04,2023-05-17,8,133,47.81506353607665,2606.778381213538,1.3425868827205054,1682.0886510184812,0.0
16,2023-05-31,2024-08-22,28,449,56.29047181904343,4328.484729517397,1.2215925002820773,353.4800373064247,0.0
17,2024-09-21,2025-03-06,8,166,101.89478385818848,3101.8772470277218,0.8261383575543675,3101.8772470277195,0.0
18,2025-03-20,2026-03-10,19,355,55.847155687835574,-321.9378385879899,1.2041358594729434,5016.491431064998,0.0
