w_wti,w_brent,w_basket,beta,alpha,pi0,lambda,lambda_factor,price_mae,price_rmse,change_mae,segments_used,rows_used
0.6000000000000001,0.0,0.3999999999999999,1784.3150931542054,1.3281432929446746,2549.8310315776625,0.0,0.0,211.17343368560097,323.1560241453615,211.17343368560097,17,194
0.6000000000000001,0.1,0.29999999999999993,1765.6630407014559,1.3237016872556648,2575.8731336478195,0.0,0.0,211.8349675573816,328.48098876147014,211.8349675573816,17,194
0.7000000000000001,0.0,0.29999999999999993,1724.5133141180956,1.3257778719362106,2644.690869028855,0.0,0.0,213.47558918706508,331.6777005151875,213.47558918706508,17,194
0.5,0.0,0.5,1741.897859022876,1.3404402103305193,2515.9818485381256,0.0,0.0,214.26686870134944,323.6539680495255,214.26686870134944,17,194
0.7000000000000001,0.1,0.19999999999999993,1709.799919566494,1.3191809630291527,2674.7237216898156,0.0,0.0,214.2779235743597,338.1655627595012,214.2779235743597,17,194
0.6000000000000001,0.2,0.1999999999999999,1716.1740801238443,1.3230687770716583,2616.858212055699,0.0,0.0,214.2916110457911,336.31214489092895,214.2916110457911,17,194
0.1,0.9,0.0,2252.6959050827627,1.243039417696663,2201.1906991611927,0.0,0.0,215.4574026187084,332.5438244206196,215.4574026187084,15,194
0.7000000000000001,0.2,0.09999999999999992,1697.6715500160594,1.3116171573282835,2705.4401231552347,0.0,0.0,215.8325133183254,345.6373261062215,215.8325133183254,17,194
0.5,0.1,0.4,1692.0550291701245,1.341312554827017,2552.3999047835964,0.0,0.0,216.20229937884662,329.8372501579303,216.20229937884662,17,194
0.8,0.0,0.19999999999999996,1638.104018128593,1.3192820872968452,2780.9854541652758,0.0,0.0,217.67599063022854,346.47280125948174,217.67599063022854,17,194
0.6000000000000001,0.30000000000000004,0.09999999999999987,1659.8106962253987,1.3232272234855829,2660.8290964231865,0.0,0.0,218.60877497486976,345.3082284507567,218.60877497486976,17,194
0.7000000000000001,0.30000000000000004,0.0,1683.2341901157477,1.3036500859288938,2739.5059812749887,0.0,0.0,219.0072288105609,354.382224761435,219.0072288105609,17,194
0.5,0.2,0.3,1636.9919805470029,1.3426736035752942,2591.363424576164,0.0,0.0,219.33959924032808,337.15277370534636,219.33959924032808,17,194
0.8,0.1,0.09999999999999995,1593.5982600311613,1.3135766671604834,2836.5978520447075,0.0,0.0,220.93597583319342,356.6406689708284,220.93597583319342,17,194
0.4,0.0,0.6,1646.470363668622,1.3572809907219605,2515.3457100364394,0.0,0.0,221.79919535592677,331.08681950080836,221.79919535592677,17,194
0.6000000000000001,0.4,0.0,1591.8073376175878,1.3250091073342116,2709.1836696791775,0.0,0.0,224.34328887114137,355.6520051946895,224.34328887114137,17,194
0.5,0.30000000000000004,0.19999999999999996,1572.0517990356386,1.3453137388601506,2634.3154119226865,0.0,0.0,224.3512435885532,345.850346091294,224.3512435885532,17,194
0.4,0.1,0.5,1585.8204458526757,1.3605310382945688,2553.37408263584,0.0,0.0,224.91684560866113,337.41432424977336,224.91684560866113,17,194
0.8,0.2,0.0,1542.2996665423234,1.307076334689245,2901.5384300764117,0.0,0.0,225.66393522007476,368.8941540020507,225.66393522007476,17,194
0.9,0.0,0.09999999999999998,1483.9784865621218,1.3076573876056707,3003.2260735667933,0.0,0.0,228.41408812840638,372.9760767574691,228.41408812840638,17,194
0.0,0.7000000000000001,0.29999999999999993,2116.2873951895945,1.2607395736279567,2240.5321670754242,0.0,0.0,228.7004800599804,347.34374982479255,228.7004800599804,14,194
0.4,0.2,0.39999999999999997,1517.4227508103959,1.3646507599979052,2594.920335130008,0.0,0.0,229.78783161729643,345.0864451205642,229.78783161729643,17,194
0.0,0.8,0.19999999999999996,2140.3871488353307,1.2536430372672525,2235.908836841013,0.0,0.0,230.07462763924258,350.1795236371222,230.07462763924258,14,194
0.0,0.9,0.09999999999999998,2178.453695588216,1.2448061715778356,2224.129014954478,0.0,0.0,231.3742390171052,352.6557155668063,231.3742390171052,14,194
0.5,0.4,0.09999999999999998,1492.713631849877,1.3501014969695917,2682.2312268721353,0.0,0.0,231.45948425499836,356.1669808280668,231.45948425499836,17,194
0.0,1.0,0.0,2226.4575314126205,1.2348646956832812,2206.667059186258,0.0,0.0,232.4436398142989,354.9498258603944,232.4436398142989,14,194
0.30000000000000004,0.0,0.7,1515.5087010873572,1.3776512626808106,2535.8359897149185,0.0,0.0,234.95804828113168,343.813768691189,234.95804828113168,17,194
0.9,0.1,0.0,1365.820927565267,1.3026152784186413,3129.3120125905834,0.0,0.0,235.3919512729395,392.22056136423413,235.3919512729395,17,194
0.4,0.30000000000000004,0.29999999999999993,1435.7615155852075,1.3705721685524828,2641.6758492289,0.0,0.0,237.20455421638445,354.49924233928334,237.20455421638445,17,194
0.30000000000000004,0.1,0.6,1435.1032333887717,1.3837537111379952,2580.9899855411763,0.0,0.0,241.2285909065409,352.1832899931164,241.2285909065409,17,194
0.5,0.5,0.0,1390.032269665707,1.3585503596037076,2737.8676904163344,0.0,0.0,242.07133194581206,368.6894590312829,242.07133194581206,17,194
0.4,0.4,0.19999999999999996,1331.6101180511112,1.3798096920501497,2696.7115710436015,0.0,0.0,248.16654466837664,366.3298629831516,248.16654466837664,17,194
0.30000000000000004,0.2,0.49999999999999994,1338.3774048352338,1.3924851062366952,2632.652209177569,0.0,0.0,249.2185583428699,361.75063489747527,249.2185583428699,17,194
1.0,0.0,0.0,1064.2873750815947,1.29109606361449,3508.16982135669,0.0,0.0,252.03321580032258,434.53967629703885,252.03321580032258,17,194
0.2,0.0,0.8,1358.197213349538,1.400664079591083,2571.5640692852494,0.0,0.0,253.28565113877985,361.50415058268334,253.28565113877985,17,194
0.30000000000000004,0.30000000000000004,0.3999999999999999,1218.2518091709708,1.404372019188678,2694.175987673929,0.0,0.0,260.59993300777046,374.0898078807983,260.59993300777046,17,194
0.2,0.1,0.7000000000000001,1233.4740298554027,1.4131517087173409,2634.864505822798,0.0,0.0,264.0912751032811,373.93670707319575,264.0912751032811,17,194
0.4,0.5,0.09999999999999998,1183.3241095445778,1.3953237859373033,2769.6635806661843,0.0,0.0,265.01845819928684,382.44396979958697,265.01845819928684,17,194
0.30000000000000004,0.4,0.29999999999999993,1062.8884542098026,1.4214070221794057,2769.114820601044,0.0,0.0,277.3318420338248,390.3783884539864,277.3318420338248,17,194
0.2,0.2,0.6000000000000001,1089.7258171383885,1.4285287976497578,2705.4595576989773,0.0,0.0,277.7324079557377,388.5493181188314,277.7324079557377,17,194
