scenario,scenario_cn,scenario_en,positive_scale,negative_scale,full_transmission_total_loss,simple_rule_total_loss,rule_improvement_vs_full_pct,simple_rule_mean_alpha_gasoline,simple_rule_mean_alpha_diesel
baseline,基准波动,Baseline,1.0,1.0,52.71915569252317,52.670431999401195,0.0009242123186901,0.7325892857142858,0.7337053571428572
low_volatility_075,低波动,Low vol 0.75x,0.75,0.75,42.495183301728254,42.22724787248339,0.006305077621208148,0.7274553571428573,0.7225446428571428
high_volatility_125,高波动1.25倍,High vol 1.25x,1.25,1.25,63.72559008067272,65.40713348910967,-0.02638725520325853,0.7332589285714286,0.7412946428571429
high_volatility_150,高波动1.50倍,High vol 1.50x,1.5,1.5,73.2980357900631,77.5283102123054,-0.05771333947281292,0.7350446428571429,0.7424107142857144
extreme_volatility_200,极端波动2.00倍,Extreme vol 2.00x,2.0,2.0,89.88392372675563,98.75830773244624,-0.09873160447098939,0.7383928571428572,0.7435267857142858
upward_skew_volatility,上行波动偏强,Upward-skewed vol,1.5,0.75,65.2649797330177,68.92551532890587,-0.05608728618108042,0.7272321428571429,0.7325892857142857
