month,u_gasoline_sum,u_diesel_sum,gasoline_price_base,diesel_price_base,cpi_yoy,cpi_target,x_gasoline,x_diesel,cpi_hat_next,inflation_excess,deflation_gap,Lpi_inflation,Lpi_deflation,Lpi_raw,Lpi_winsorized,Lpi
2016-01-01,0.0,0.0,6925.0,5970.0,0.018,0.03,0.0,0.0,0.016673545392392727,0.0,0.003326454607607273,0.0,0.07734823328981442,0.07734823328981442,0.07734823328981442,0.06715426911777199
2016-02-01,0.0,0.0,6925.0,5970.0,0.023,0.03,0.0,0.0,0.021326188465378156,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-01,0.0,0.0,6925.0,5970.0,0.023,0.03,0.0,0.0,0.021326188465378156,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-04-01,165.0,160.0,6925.0,5970.0,0.023,0.03,0.023826714801444042,0.02680067001675042,0.022684265087185195,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-01,311.42618604746883,299.0720033336852,7090.0,6130.0,0.02,0.03,0.04392470889244977,0.04878825502996496,0.021164237460410455,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-06-01,100.23322113792264,96.43735586995946,7401.426186047469,6429.072003333686,0.019,0.03,0.013542419882113218,0.015000198445429373,0.01842330593504072,0.0,0.001576694064959281,0.0,0.01737729049016737,0.01737729049016737,0.01737729049016737,0.015087083343480452
2016-07-01,-155.0,-150.0,7501.6594071853915,6525.5093592036455,0.018,0.03,0.0,0.0,0.016673545392392727,0.0,0.003326454607607273,0.0,0.07734823328981442,0.07734823328981442,0.07734823328981442,0.06715426911777199
2016-08-01,-92.80578975908362,-90.96873937338921,7346.6594071853915,6375.5093592036455,0.013,0.03,0.0,0.0,0.012020902319407301,0.0,0.0079790976805927,0.0,0.4450356059704919,0.4450356059704919,0.4450356059704919,0.386382979664885
2016-09-01,58.07968699914619,58.94454157427165,7253.853617426308,6284.540619830256,0.019,0.03,0.008006735462598577,0.00937929200239042,0.017984466723145315,0.0,0.002015533276854685,0.0,0.02839665212454701,0.02839665212454701,0.02839665212454701,0.02465416904443632
2016-10-01,353.4320830964931,339.8876376195256,7311.9333044254545,6343.485161404528,0.021,0.03,0.048336338473243846,0.05358058369671825,0.022380818357466283,0.0,0.0,0.0,0.0,0.0,0.0,0.0
