date,month,alpha_gasoline,alpha_diesel,u_gasoline,u_diesel,price_gasoline,price_diesel,S_gasoline,S_diesel,LC,LC_raw,LC_winsorized,consumer_increase_loss,consumer_decrease_reward,LF,LF_raw,LF_winsorized,LV,LV_raw,LV_winsorized,LT,LT_raw,LT_winsorized,price_gap_g,energy_A,LE,LE_raw,LE_winsorized,cpi_yoy,cpi_target,gasoline_price_before,diesel_price_before,omega_gasoline,omega_diesel,Lpi,Lpi_contribution,weighted_event_loss,u_hist_gasoline,u_hist_diesel,f_gasoline,f_diesel
2016-01-27,2016-01-01,-0.0,-0.0,0.0,0.0,6925.0,5970.0,-325.7853861508645,-312.9340832286773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.142586158253818,0.7353025969761047,0.1765660096570218,0.0,0.0,0.0,0.0,0.0,0.018,0.03,6925.0,5970.0,0.4263973608863438,0.5736026391136562,0.06715426911777199,0.06715426911777199,0.5349567378952649,0,0,-325.7853861508645,-312.9340832286773
2016-02-15,2016-02-01,0.0,0.0,0.0,0.0,6925.0,5970.0,-117.25269182284626,-112.77240411256845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.511339319247377,0.08491450652399782,0.08491450652399782,0.016684650304367353,0.0,0.0,0.0,0.0,0.023,0.03,6925.0,5970.0,0.4263973608863438,0.5736026391136562,0.0,0.0,0.2518898865412294,0,0,110.79707848275888,106.28145414750564
2016-02-29,2016-02-01,0.0,0.0,0.0,0.0,6925.0,5970.0,-25.974626592963112,-24.938373459313958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38903395976806215,0.021857849057505194,0.021857849057505194,0.008534951314954225,0.0,0.0,0.0,0.0,0.023,0.03,6925.0,5970.0,0.4263973608863438,0.5736026391136562,0.0,0.0,0.064838993294677,0,0,56.10225768302926,54.00230941948396
2016-03-14,2016-03-01,0.0,0.0,0.0,0.0,6925.0,5970.0,267.4638344632718,257.2402869877837,0.0,0.0,0.0,0.0,0.0,3.765941984799191,1.853435603613678,0.9250594377947076,0.0,0.0,0.0,3.142586158253818,0.5660275514398962,0.1765660096570218,0.04196838940939675,0.0,0.0,0.0,0.0,0.023,0.03,6925.0,5970.0,0.4263973608863438,0.5736026391136562,0.0,0.0,1.1514213571755012,0,0,285.646073078346,274.69714840930345
2016-03-28,2016-03-01,0.0,0.0,0.0,0.0,6925.0,5970.0,335.66642368283476,322.8809176330864,0.0,0.0,0.0,0.0,0.0,3.765941984799191,2.9196819130894154,0.9250594377947076,0.0,0.0,0.0,2.7219820811026447,0.15293439549968013,0.15293439549968013,0.02226364813248031,0.0,0.0,0.0,0.0,0.023,0.03,6925.0,5970.0,0.4263973608863438,0.5736026391136562,0.0,0.0,1.0813206776503055,0,0,148.44173955854455,142.81271674163784
2016-04-12,2016-04-01,-0.0,-0.0,0.0,0.0,6925.0,5970.0,133.96355697164762,128.99732078503447,0.0,0.0,0.0,0.0,0.0,1.8954396337128991,0.4655924942587123,0.4655924942587123,0.0,0.0,0.0,1.2579284474623573,0.07067663230779812,0.07067663230779812,0.0,0.0026027054540915,0.0,0.0,0.0,0.023,0.03,6925.0,5970.0,0.4272388790907309,0.572761120909269,0.0,0.0,0.5255613468625425,0,0,-101.00293960633668,-97.019321558126
2016-04-27,2016-04-01,0.576245538390295,0.5811898641992522,165.0,160.0,7090.0,6130.0,215.11076323494046,205.59542385883623,0.7421959617713255,0.0006539493002816971,0.0006539493002816971,0.0006539493002816971,0.0,3.765941984799191,1.1898585162928406,0.9250594377947076,0.38688841756067543,0.18543024882921785,0.18543024882921785,1.7931833817311464,0.10074989780756885,0.10074989780756885,0.017704552562751566,0.00442459927195555,0.0,0.0,0.0,0.023,0.03,6925.0,5970.0,0.4272388790907309,0.572761120909269,0.0,0.0,1.1147016243103893,165,160,286.3362733547871,275.2972993093121
2016-05-12,2016-05-01,0.6853483060636648,0.6828392370788792,120.0,115.0,7210.0,6245.0,205.6709851977896,197.33125468101525,0.368138606716875,0.00032436714381282736,0.00032436714381282736,0.00032436714381282736,0.0,3.765941984799191,1.0933265372498875,0.9250594377947076,0.12946953799743943,0.062052952626590274,0.062052952626590274,0.3783184899377825,0.02125580104537242,0.02125580104537242,0.00807117545684176,0.014501530964730685,0.0,0.0,0.0,0.02,0.03,7090.0,6130.0,0.4211575255102041,0.5788424744897959,0.0,0.0,0.7736447699085477,120,115,175.09345093333127,168.4144579798299
2016-05-26,2016-05-01,1.0,1.0,191.4261860474688,184.0720033336852,7401.426186047469,6429.072003333686,143.9696896384527,138.13187827671067,0.907688401127854,0.000799764786343931,0.000799764786343931,0.000799764786343931,0.0,2.1809713293393003,0.5357300032524448,0.5357300032524448,0.3290913404366601,0.15772891194174987,0.15772891194174987,0.0,0.0,0.0,0.0,0.021555383149673278,0.0,0.0,0.0,0.02,0.03,7210.0,6245.0,0.4211575255102041,0.5788424744897959,0.0,0.0,0.5696251784839689,210,200,191.4261860474688,184.0720033336852
2016-06-09,2016-06-01,1.0,1.0,100.23322113792264,96.43735586995946,7501.6594071853915,6525.5093592036455,100.7787827469169,96.69231479369746,0.23505108892052465,0.00020710365327666303,0.00020710365327666303,0.00020710365327666303,0.0,1.0677740353424139,0.2622861565081463,0.2622861565081463,0.13116368615228058,0.06286493432375878,0.06286493432375878,0.0,0.0,0.0,0.0,0.015088768204771294,0.0,0.0,0.0,0.019,0.03,7401.426186047469,6429.072003333686,0.4302525607944327,0.5697474392055673,0.015087083343480452,0.0,0.2389981350692031,110,110,100.23322113792264,96.43735586995946
