scenario,variable,variable_label,x_value,alpha_gasoline,alpha_diesel,u_gasoline,u_diesel,LC,LF,LV,LT,Lpi,LE,weighted_loss,base_f_gasoline,base_f_diesel
upward_base,f_gasoline,gasoline f,-407.3684574596617,0.99,0.87,-403.29477288506513,140.27997451963572,-0.8518684985713186,0.07867352462035197,1.1650516157311765,0.033981063320218115,0.30132196726436844,0.0,0.121193278727466,-407.3684574596617,161.24135002256978
upward_base,f_gasoline,gasoline f,-397.86516534606864,0.99,0.87,-393.88651369260793,140.27997451963572,-0.8027232889256551,0.07872835757763487,1.1191310093973046,0.033939871637621175,0.30132196726436844,0.0,0.1217329861585456,-397.86516534606864,161.24135002256978
upward_base,f_gasoline,gasoline f,-388.36187323247555,0.99,0.87,-384.4782545001508,140.27997451963572,-0.7547380936410892,0.078783973764347,1.0742943044894646,0.033899652235816466,0.30132196726436844,0.0,0.12226030068548449,-388.36187323247555,161.24135002256978
upward_base,f_gasoline,gasoline f,-378.85858111888246,0.99,0.87,-375.0699953076936,140.27997451963572,-0.7079129127176199,0.07884037318048827,1.0305415010076568,0.03386040511480406,0.30132196726436844,0.0,0.12277522230828292,-378.85858111888246,161.24135002256978
upward_base,f_gasoline,gasoline f,-369.35528900528936,0.99,0.87,-365.66173611523647,140.27997451963572,-0.6622477461552485,0.07889755582605877,0.9878725989518814,0.03382213027458388,0.30132196726436844,0.0,0.12327775102694061,-369.35528900528936,161.24135002256978
upward_base,f_gasoline,gasoline f,-359.8519968916962,0.99,0.87,-356.25347692277927,140.27997451963572,-0.6177425939539737,0.07895552170105848,0.9462875983221379,0.033784827715155966,0.30132196726436844,0.0,0.1237678868414578,-359.8519968916962,161.24135002256978
upward_base,f_gasoline,gasoline f,-350.3487047781031,0.99,0.87,-346.8452177303221,140.27997451963572,-0.5743974561137963,0.07901427080548733,0.9057864991184268,0.03374849743652034,0.30132196726436844,0.0,0.12424562975183438,-350.3487047781031,161.24135002256978
upward_base,f_gasoline,gasoline f,-340.84541266451004,0.99,0.87,-337.43695853786494,140.27997451963572,-0.5322123326347167,0.07907380313934541,0.866369301340748,0.03371313943867696,0.30132196726436844,0.0,0.12471097975807031,-340.84541266451004,161.24135002256978
upward_base,f_gasoline,gasoline f,-331.34212055091695,0.99,0.87,-328.02869934540774,140.27997451963572,-0.49118722351673383,0.07913411870263264,0.8280360049891011,0.033678753721625855,0.30132196726436844,0.0,0.12516393686016564,-331.34212055091695,161.24135002256978
upward_base,f_gasoline,gasoline f,-321.83882843732385,0.99,0.87,-318.6204401529506,140.27997451963572,-0.4513221287598486,0.07919521749534911,0.7907866100634866,0.033645340285367,0.30132196726436844,0.0,0.12560450105812038,-321.83882843732385,161.24135002256978
upward_base,f_gasoline,gasoline f,-312.33553632373076,0.99,0.87,-309.21218096049347,140.27997451963572,-0.41261704836406043,0.07925709951749477,0.7546211165639045,0.033612899129900405,0.30132196726436844,0.0,0.1260326723519346,-312.33553632373076,161.24135002256978
upward_base,f_gasoline,gasoline f,-302.8322442101377,0.99,0.87,-299.8039217680363,140.27997451963572,-0.37507198232936956,0.07931976476906957,0.7195395244903543,0.03358143025522609,0.30132196726436844,0.0,0.1264484507416081,-302.8322442101377,161.24135002256978
upward_base,f_gasoline,gasoline f,-293.3289520965445,0.99,0.87,-290.3956625755791,140.27997451963572,-0.338686930655776,0.07938321325007361,0.6855418338428362,0.033550933661344026,0.30132196726436844,0.0,0.126851836227141,-293.3289520965445,161.24135002256978
upward_base,f_gasoline,gasoline f,-283.8256599829515,0.99,0.87,-280.987403383122,140.27997451963572,-0.30346189334327983,0.07944744496050683,0.6526280446213507,0.033521409348254226,0.30132196726436844,0.0,0.12724282880853333,-283.8256599829515,161.24135002256978
upward_base,f_gasoline,gasoline f,-274.32236786935835,0.99,0.87,-271.57914419066475,140.27997451963572,-0.2693968703918805,0.07951245990036922,0.6207981568258968,0.0334928573159567,0.30132196726436844,0.0,0.12762142848578506,-274.32236786935835,161.24135002256978
upward_base,f_gasoline,gasoline f,-264.81907575576525,0.99,0.87,-262.1708849982076,140.27997451963572,-0.23649186180157888,0.0795782580696608,0.5900521704564755,0.033465277564451425,0.30132196726436844,0.0,0.12798763525889617,-264.81907575576525,161.24135002256978
upward_base,f_gasoline,gasoline f,-255.31578364217216,0.99,0.87,-252.76262580575045,140.27997451963572,-0.20474686757237429,0.07964483946838159,0.5603900855130863,0.03343867009373842,0.30132196726436844,0.0,0.1283414491278667,-255.31578364217216,161.24135002256978
upward_base,f_gasoline,gasoline f,-245.81249152857907,0.98,0.87,-240.8962416980075,140.27997451963572,-0.16636198928088763,0.07822162923825766,0.5245237844451758,0.03438879421690532,0.30132196726436844,0.0,0.12868236431396987,-245.81249152857907,161.24135002256978
upward_base,f_gasoline,gasoline f,-236.30919941498598,0.98,0.87,-231.58301542668625,140.27997451963572,-0.13752846528034443,0.07831819010234702,0.49758213714336125,0.034290142580391404,0.30132196726436844,0.0,0.12899732863502056,-236.30919941498598,161.24135002256978
upward_base,f_gasoline,gasoline f,-226.80590730139286,0.98,0.87,-222.269789155365,140.27997451963572,-0.10983163936407614,0.07841788388415316,0.47170260485997484,0.034195380067046525,0.30132196726436844,0.0,0.1293010327852444,-226.80590730139286,161.24135002256978
upward_base,f_gasoline,gasoline f,-217.30261518779977,0.98,0.87,-212.95656288404376,140.27997451963572,-0.0832715115320826,0.07852071058367606,0.44688518759501644,0.03410450667687072,0.30132196726436844,0.0,0.12959347676464145,-217.30261518779977,161.24135002256978
upward_base,f_gasoline,gasoline f,-207.79932307420668,0.98,0.87,-203.64333661272255,140.27997451963572,-0.05784808178436413,0.07862667020091575,0.42312988534848617,0.03401752240986395,0.30132196726436844,0.0,0.12987466057321165,-207.79932307420668,161.24135002256978
upward_base,f_gasoline,gasoline f,-198.29603096061356,0.98,0.87,-194.33011034140128,140.27997451963572,-0.03356135012092045,0.07873576273587217,0.4004366981203838,0.033934427266026246,0.30132196726436844,0.0,0.13014458421095498,-198.29603096061356,161.24135002256978
upward_base,f_gasoline,gasoline f,-188.79273884702047,0.98,0.87,-185.01688407008007,140.27997451963572,-0.01041131654175173,0.07884798818854538,0.37880562591070954,0.03385522124535758,0.30132196726436844,0.0,0.13040324767787148,-188.79273884702047,161.24135002256978
upward_base,f_gasoline,gasoline f,-179.28944673342738,0.98,0.87,-175.70365779875883,140.27997451963572,0.01160201895314222,0.07896334655893533,0.35823666871946325,0.03377990434785798,0.30132196726436844,0.0,0.13065065097396114,-179.28944673342738,161.24135002256978
upward_base,f_gasoline,gasoline f,-169.7861546198343,0.98,0.87,-166.3904315274376,140.27997451963572,0.03247865636376115,0.07908183784704208,0.33872982654664513,0.03370847657352742,0.30132196726436844,0.0,0.130886794099224,-169.7861546198343,161.24135002256978
upward_base,f_gasoline,gasoline f,-160.2828625062412,0.97,0.87,-155.47437663105396,140.27997451963572,0.05550123839062758,0.0782759929458452,0.3172178433102831,0.034332383076004426,0.30132196726436844,0.0,0.13110823749785475,-160.2828625062412,161.24135002256978
upward_base,f_gasoline,gasoline f,-150.7795703926481,0.97,0.87,-146.25618328086867,140.27997451963572,0.07372675867869802,0.0784246735491403,0.3001881684261445,0.03418917163802142,0.30132196726436844,0.0,0.13130845659272872,-150.7795703926481,161.24135002256978
upward_base,f_gasoline,gasoline f,-141.27627827905496,0.97,0.87,-137.03798993068332,140.27997451963572,0.09083866044584585,0.07858040321729813,0.2841990433346327,0.03405471072716878,0.30132196726436844,0.0,0.13149913083155226,-141.27627827905496,161.24135002256978
upward_base,f_gasoline,gasoline f,-131.77298616546187,0.97,0.87,-127.81979658049801,140.27997451963572,0.10683694369207085,0.07874318195031868,0.26925046803574787,0.03392900034344653,0.30132196726436844,0.0,0.13168026021432533,-131.77298616546187,161.24135002256978
