dimension,loss_component,averaging_scope,n,before_mean,after_mean,mean_change_after_minus_before,improvement_before_minus_after,improvement_pct
消费者福利,LC,event,224,0.025966479395662743,-0.018663353985531955,-0.044629833381194695,0.044629833381194695,1.7187479558222032
企业与财政压力,LF,event,224,0.0,0.0670411815013727,0.0670411815013727,-0.0670411815013727,
价格稳定性,LV,event,224,0.7354616068156311,0.6828887239153089,-0.05257288290032225,0.05257288290032225,0.0714828380069355
宏观稳定性,Lpi,month,107,0.6060148147202244,0.5964272692579805,-0.00958754546224394,0.00958754546224394,0.015820645352820576
能源安全与市场传导,LE + LT,event,224,0.36121186459261295,0.38834930349995295,0.027137438907339995,-0.027137438907339995,-0.07512886914151207
