scenario,data_scope,grid_step,LC_sum,LF_sum,LV_sum,LT_sum,LE_sum,Lpi_sum,weighted_LC,weighted_LF,weighted_LV,weighted_LT,weighted_LE,weighted_Lpi,total_loss,mean_alpha_gasoline,mean_alpha_diesel,mean_optimal_u_gasoline,mean_optimal_u_diesel,mean_historical_u_gasoline,mean_historical_u_diesel,n_events
consumer_priority,backtest_clean,0.01,-72.57125736359106,210.09662232165402,100.48738644718708,97.14235600529462,87.74284229287161,61.286725039178016,-21.77137720907732,29.413527125031543,14.068234102606182,13.599929840741236,12.283997921002017,8.580141505484915,56.17445328578859,0.61,0.560625,-22.02653817995842,-22.172030734521492,9.21875,8.973214285714286,224
firm_priority,backtest_clean,0.01,-0.7253152919583132,5.066893643923777,155.17801076173038,3.2971602078094358,80.99542910959174,63.15014740508937,-0.10154414087416379,1.520068093177133,21.724921506642236,0.46160242909332067,11.339360075342835,8.841020636712505,43.785428600093866,0.7437500000000001,0.7445535714285716,6.980132448724606,5.555278934594268,9.21875,8.973214285714286,224
cpi_priority,backtest_clean,0.01,-5.396375674037407,18.462559142945548,149.4088036262548,9.719000267554563,81.0700218701484,60.536569799290085,-0.7554925943652365,2.584758280012375,20.91723250767566,1.3606600374576379,11.349803061820767,18.160970939787024,53.61793223238823,0.7212500000000001,0.7138839285714286,5.769501615170895,1.9991150330479113,9.21875,8.973214285714286,224
volatility_priority,backtest_clean,0.01,-22.72278109087095,102.2115410312228,104.22125413210841,57.99978333891484,82.76280793680203,61.486049479365725,-3.1811893527219306,14.30961574437118,31.26637623963252,8.119969667448071,11.586793111152277,8.608046927111195,70.70961233699332,0.6400892857142857,0.6321875,-4.883663678349749,-10.91267311370722,9.21875,8.973214285714286,224
energy_priority,backtest_clean,0.01,-5.119834260862046,14.584291602905859,149.792791050577,6.865335465410663,81.05741488545428,62.48443434215574,-0.7167767965206859,2.0418008244068186,20.970990747080766,0.9611469651574921,24.317224465636283,8.747820807901798,56.32220701366248,0.7290178571428572,0.7254464285714286,5.089023159341663,2.761059646699227,9.21875,8.973214285714286,224
