scenario,scenario_cn,data_scope,grid_step,mean_alpha_gasoline,mean_alpha_diesel,mean_alpha_gasoline_excl_f0,mean_alpha_diesel_excl_f0,total_loss,LC_sum,LF_sum,LV_sum,LT_sum,LE_sum,Lpi_sum,weighted_LC,weighted_LF,weighted_LV,weighted_LT,weighted_LE,weighted_Lpi,zero_alpha_gasoline_valid_f,zero_alpha_diesel_valid_f,n_events
consumer_priority,???????,backtest_clean,0.01,0.61,0.560625,0.7763636363636363,0.7175999999999999,56.17445328578859,-72.57125736359106,210.096622321654,100.48738644718708,97.14235600529462,87.74284229287161,61.286725039178016,-21.77137720907732,29.413527125031543,14.068234102606182,13.599929840741236,12.283997921002015,8.580141505484915,6,18,224
firm_priority,??/????,backtest_clean,0.01,0.7437500000000001,0.7445535714285716,0.946590909090909,0.9530285714285714,43.785428600093866,-0.7253152919583132,5.066893643923777,155.17801076173038,3.297160207809436,80.99542910959174,63.15014740508937,-0.1015441408741637,1.520068093177133,21.72492150664224,0.4616024290933206,11.339360075342835,8.841020636712505,0,0,224
cpi_priority,CPI????,backtest_clean,0.01,0.7212500000000001,0.7138839285714286,0.9179545454545455,0.9137714285714286,53.61793223238823,-5.396375674037407,18.462559142945548,149.4088036262548,9.719000267554565,81.0700218701484,60.536569799290085,-0.7554925943652365,2.584758280012375,20.91723250767566,1.360660037457638,11.349803061820769,18.160970939787024,1,0,224
volatility_priority,??????,backtest_clean,0.01,0.6400892857142857,0.6321875,0.8146590909090908,0.8092,70.70961233699332,-22.72278109087095,102.2115410312228,104.2212541321084,57.99978333891484,82.76280793680203,61.486049479365725,-3.1811893527219306,14.30961574437118,31.26637623963252,8.119969667448071,11.586793111152277,8.608046927111195,5,8,224
energy_priority,??????,backtest_clean,0.01,0.7290178571428572,0.7254464285714286,0.9278409090909091,0.9285714285714286,56.32220701366248,-5.119834260862046,14.58429160290586,149.792791050577,6.865335465410663,81.05741488545428,62.48443434215574,-0.7167767965206859,2.041800824406818,20.97099074708077,0.961146965157492,24.317224465636283,8.747820807901798,0,0,224
