fuel_type,valid_n,theta_mean,theta_std,theta_cv,judgement
gasoline,2,1.850790745720298,1.2957243226797344,0.7000922852439806,theta_i 波动较大，不建议设为常数
diesel,2,1.8270206255390895,1.2721567178926132,0.6963012349777083,theta_i 波动较大，不建议设为常数
combined,2,1.8389056856296937,1.283940520286174,0.6982090111089717,综合 theta_i 波动较大，不建议设为常数
