scenario,scenario_cn,total_loss,mean_alpha_gasoline,mean_alpha_diesel,mean_alpha_gasoline_excl_f0,zero_valid_gasoline,one_valid_gasoline,mean_alpha_diesel_excl_f0,zero_valid_diesel,one_valid_diesel,LC_sum,LF_sum,LV_sum,LT_sum,LE_sum,Lpi_sum
equal_weight,????,51.612843898414205,0.7289285714285713,0.7254017857142857,0.9277272727272728,0,58,0.9285142857142857,0,51,-5.146616095498972,14.607509960197572,149.76041194388645,6.876127277367692,81.06083664881291,62.5187936557197
consumer_priority,???????,56.17445328578859,0.61,0.560625,0.7763636363636363,6,51,0.7175999999999999,18,49,-72.57125736359106,210.096622321654,100.48738644718708,97.14235600529462,87.74284229287161,61.286725039178016
firm_priority,??/????,43.785428600093866,0.7437500000000001,0.7445535714285716,0.946590909090909,0,66,0.9530285714285714,0,61,-0.7253152919583132,5.066893643923777,155.17801076173038,3.297160207809436,80.99542910959174,63.15014740508937
cpi_priority,CPI????,53.61793223238823,0.7212500000000001,0.7138839285714286,0.9179545454545455,1,63,0.9137714285714286,0,51,-5.396375674037407,18.462559142945548,149.4088036262548,9.719000267554565,81.0700218701484,60.536569799290085
volatility_priority,??????,70.70961233699332,0.6400892857142857,0.6321875,0.8146590909090908,5,31,0.8092,8,34,-22.72278109087095,102.2115410312228,104.2212541321084,57.99978333891484,82.76280793680203,61.486049479365725
energy_priority,??????,56.32220701366248,0.7290178571428572,0.7254464285714286,0.9278409090909091,0,58,0.9285714285714286,0,51,-5.119834260862046,14.58429160290586,149.792791050577,6.865335465410663,81.05741488545428,62.48443434215574
