month,u_gasoline_sum,u_diesel_sum,gasoline_price_base,diesel_price_base,cpi_yoy,cpi_target,x_gasoline,x_diesel,cpi_hat_next,inflation_excess,deflation_gap,Lpi_inflation,Lpi_deflation,Lpi_raw,Lpi_winsorized,Lpi,mechanism,mechanism_label
2016-01-01,0.0,0.0,6925.0,5970.0,0.018,0.03,0.0,0.0,0.016673545392392727,0.0,0.003326454607607273,0.0,0.07734823328981442,0.07734823328981442,0.07734823328981442,0.06715426911777199,current,Current mechanism
2016-02-01,0.0,0.0,6925.0,5970.0,0.023,0.03,0.0,0.0,0.021326188465378156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,current,Current mechanism
2016-03-01,0.0,0.0,6925.0,5970.0,0.023,0.03,0.0,0.0,0.021326188465378156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,current,Current mechanism
2016-04-01,165.0,160.0,6925.0,5970.0,0.023,0.03,0.023826714801444042,0.02680067001675042,0.022684265087185195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,current,Current mechanism
2016-05-01,330.0,315.0,7090.0,6130.0,0.02,0.03,0.0465444287729196,0.05138662316476346,0.021384472382731744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,current,Current mechanism
2016-06-01,110.0,110.0,7420.0,6445.0,0.019,0.03,0.014824797843665768,0.017067494181536073,0.01836918715744973,0.0,0.0016308128425502715,0.0,0.018590687091491444,0.018590687091491444,0.018590687091491444,0.01614056263377779,current,Current mechanism
2016-07-01,-155.0,-150.0,7530.0,6555.0,0.018,0.03,0.0,0.0,0.016673545392392727,0.0,0.003326454607607273,0.0,0.07734823328981442,0.07734823328981442,0.07734823328981442,0.06715426911777199,current,Current mechanism
2016-08-01,-45.0,-45.0,7375.0,6405.0,0.013,0.03,0.0,0.0,0.012020902319407301,0.0,0.0079790976805927,0.0,0.4450356059704919,0.4450356059704919,0.4450356059704919,0.386382979664885,current,Current mechanism
2016-09-01,50.0,50.0,7330.0,6360.0,0.019,0.03,0.0068212824010914054,0.007861635220125786,0.017954406864060204,0.0,0.002045593135939796,0.0,0.029249989256834735,0.029249989256834735,0.029249989256834735,0.025395042222691365,current,Current mechanism
2016-10-01,355.0,340.0,7380.0,6410.0,0.021,0.03,0.048102981029810296,0.0530421216848674,0.022423702570947848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,current,Current mechanism
