loss,bin_left,bin_right,bin_label,count
abs_LC_raw,0.0,0.001296671713735875,"[0, 0.00129667)",198
abs_LC_raw,0.001296671713735875,0.00259334342747175,"[0.00129667, 0.00259334)",18
abs_LC_raw,0.00259334342747175,0.0038900151412076247,"[0.00259334, 0.00389002)",5
abs_LC_raw,0.0038900151412076247,0.0051866868549435,"[0.00389002, 0.00518669)",1
abs_LC_raw,0.0051866868549435,0.006483358568679375,"[0.00518669, 0.00648336)",0
abs_LC_raw,0.006483358568679375,0.0077800302824152495,"[0.00648336, 0.00778003)",1
abs_LC_raw,0.0077800302824152495,0.009076701996151125,"[0.00778003, 0.0090767)",0
abs_LC_raw,0.009076701996151125,0.010373373709887,"[0.0090767, 0.0103734)",0
abs_LC_raw,0.010373373709887,0.011670045423622875,"[0.0103734, 0.01167)",0
abs_LC_raw,0.011670045423622875,0.01296671713735875,"[0.01167, 0.0129667)",0
abs_LC_raw,0.01296671713735875,0.014263388851094625,"[0.0129667, 0.0142634)",0
abs_LC_raw,0.014263388851094625,0.0155600605648305,"[0.0142634, 0.0155601]",1
LF_raw,0.0,0.9686615834900754,"[0, 0.968662)",214
LF_raw,0.9686615834900754,1.9373231669801507,"[0.968662, 1.93732)",4
LF_raw,1.9373231669801507,2.905984750470226,"[1.93732, 2.90598)",0
LF_raw,2.905984750470226,3.8746463339603014,"[2.90598, 3.87465)",4
LF_raw,3.8746463339603014,4.843307917450376,"[3.87465, 4.84331)",0
LF_raw,4.843307917450376,5.811969500940452,"[4.84331, 5.81197)",0
LF_raw,5.811969500940452,6.780631084430528,"[5.81197, 6.78063)",0
LF_raw,6.780631084430528,7.749292667920603,"[6.78063, 7.74929)",1
LF_raw,7.749292667920603,8.717954251410678,"[7.74929, 8.71795)",0
LF_raw,8.717954251410678,9.686615834900753,"[8.71795, 9.68662)",0
LF_raw,9.686615834900753,10.65527741839083,"[9.68662, 10.6553)",0
LF_raw,10.65527741839083,11.623939001880904,"[10.6553, 11.6239]",1
LV_raw,0.0,0.4948728284762887,"[0, 0.494873)",182
LV_raw,0.4948728284762887,0.9897456569525774,"[0.494873, 0.989746)",26
LV_raw,0.9897456569525774,1.4846184854288662,"[0.989746, 1.48462)",8
LV_raw,1.4846184854288662,1.9794913139051549,"[1.48462, 1.97949)",4
LV_raw,1.9794913139051549,2.4743641423814435,"[1.97949, 2.47436)",0
LV_raw,2.4743641423814435,2.9692369708577324,"[2.47436, 2.96924)",2
LV_raw,2.9692369708577324,3.464109799334021,"[2.96924, 3.46411)",1
LV_raw,3.464109799334021,3.9589826278103097,"[3.46411, 3.95898)",0
LV_raw,3.9589826278103097,4.453855456286599,"[3.95898, 4.45386)",0
LV_raw,4.453855456286599,4.948728284762887,"[4.45386, 4.94873)",0
LV_raw,4.948728284762887,5.4436011132391755,"[4.94873, 5.4436)",0
LV_raw,5.4436011132391755,5.938473941715465,"[5.4436, 5.93847]",1
LT_raw,0.0,0.6573761278305884,"[0, 0.657376)",218
LT_raw,0.6573761278305884,1.3147522556611768,"[0.657376, 1.31475)",2
LT_raw,1.3147522556611768,1.9721283834917651,"[1.31475, 1.97213)",0
LT_raw,1.9721283834917651,2.6295045113223536,"[1.97213, 2.6295)",3
LT_raw,2.6295045113223536,3.286880639152942,"[2.6295, 3.28688)",0
