strategy,dimension,loss_component,mean_loss,sum_loss,n
full_transmission,消费者福利,LC,0.025966479395662743,5.8164913846284545,224
full_transmission,企业与财政压力,LF,0.0,0.0,224
full_transmission,价格稳定性,LV,0.7354616068156311,164.74339992670136,224
full_transmission,宏观稳定性,Lpi,0.6060148147202244,64.84358517506402,107
full_transmission,能源安全与市场传导,LE + LT,0.36121186459261295,80.9114576687453,224
current_mechanism,消费者福利,LC,-0.009746033400975154,-2.1831114818184343,224
current_mechanism,企业与财政压力,LF,0.3961165551456714,88.7301083526304,224
current_mechanism,价格稳定性,LV,0.6914031975777409,154.87431625741397,224
current_mechanism,宏观稳定性,Lpi,0.6051867966258307,64.75498723896389,107
current_mechanism,能源安全与市场传导,LE + LT,0.9029266536260072,202.2555704122256,224
optimal_alpha_star,消费者福利,LC,-0.02297596471204898,-5.146616095498971,224
optimal_alpha_star,企业与财政压力,LF,0.0652120980365963,14.607509960197573,224
optimal_alpha_star,价格稳定性,LV,0.6685732676066359,149.76041194388645,224
optimal_alpha_star,宏观稳定性,Lpi,0.5842877911749504,62.5187936557197,107
optimal_alpha_star,能源安全与市场传导,LE + LT,0.39257573181330624,87.9369639261806,224
simple_rule,消费者福利,LC,-0.01092102036378302,-2.4463085614873963,224
simple_rule,企业与财政压力,LF,0.061153359254043194,13.698352472905675,224
simple_rule,价格稳定性,LV,0.683942225118418,153.20305842652562,224
simple_rule,宏观稳定性,Lpi,0.6104475753121061,65.31789055839536,107
simple_rule,能源安全与市场传导,LE + LT,0.3850428531253037,86.24959910006802,224
