direction,initial_n,initial_mae,initial_rmse,initial_r2,refit_n,refit_mae,refit_rmse,refit_r2
downward,75.0,0.031754466376024554,0.07844174648028779,0.6652025138548873,75.0,0.031754466376024554,0.07844174648028779,0.6652025138548873
upward,101.0,0.025094824017854418,0.037081565021459956,0.7029049465030919,101.0,0.025094824017854418,0.037081565021459956,0.7029049465030919
