fuel_type,target,y_column,oil_range,method,n,n_up,n_down,n_zero,z_up_sum,z_down_sum,y_up_sum,y_down_sum,y_sum,beta_up,beta_down,asymmetry_index,beta_diff,ratio_up_mean,ratio_down_mean,ratio_up_median,ratio_down_median,status,judgement
gasoline,actual,actual_delta,overall,direct_ratio,257,145,112,0,19110.900741932674,17121.102796668813,21475.0,19125.0,2350.0,1.1237042298524462,1.1170425309122656,0.002972981622388768,0.006661698940180649,1.389490858836157,3.6331930447926735,1.1661634215913805,1.1957541947371704,ok,双向传递基本对称
gasoline,model,pred_delta_no_special,overall,direct_ratio,257,145,112,0,19110.900741932674,17121.102796668813,23164.049848631992,21074.188848519123,2089.8610001128727,1.2120857180638271,1.2308896861842011,-0.007697158181648594,-0.018803968120373993,0.9977486953043624,1.0118751127395742,1.288382514643769,1.3211388028351858,ok,双向传递基本对称
diesel,actual,actual_delta,overall,direct_ratio,257,145,112,0,19110.27056774763,17120.410113735797,20675.0,18380.0,2295.0,1.0818789784637148,1.073572413154614,0.00385374745234415,0.008306565309100788,1.3687663471625418,3.3249439359204933,1.131800103077346,1.1506890315992924,ok,双向传递基本对称
diesel,model,pred_delta_no_special,overall,direct_ratio,257,145,112,0,19110.27056774763,17120.410113735797,22293.262126291796,20258.42221442984,2034.8399118619527,1.1665592094711676,1.1832907085664028,-0.007120241580878563,-0.01673149909523519,1.0072251075141925,0.964795578619013,1.241024589083615,1.2697004374891918,ok,双向传递基本对称
