w_wti,w_brent,w_basket,beta,alpha,pi0,lambda,lambda_factor,price_mae,price_rmse,change_mae,segments_used,rows_used
0.8200000000000001,0.1,0.07999999999999993,1820.7518322521003,1.337214424347881,2533.0747240000005,0.0,0.0,207.28026573031948,316.1120133737206,207.28026573031948,18,194
0.8200000000000001,0.08,0.09999999999999994,1816.5924033026959,1.3387688081365234,2533.0747240000005,0.0,0.0,207.31383386803128,315.66032446140576,207.31383386803128,18,194
0.8200000000000001,0.12,0.05999999999999994,1825.0591417373234,1.3356203743978043,2533.0747240000005,0.0,0.0,207.34815586610296,316.58824296171906,207.34815586610296,18,194
0.8,0.14,0.05999999999999994,1811.6319514068664,1.3374076302180526,2533.0747240000005,0.0,0.0,207.35547320937104,316.7221383389817,207.35547320937104,18,194
0.8,0.16,0.03999999999999995,1816.1670545302231,1.3357551069441571,2533.0747240000005,0.0,0.0,207.35585165599497,317.22001200376945,207.35585165599497,18,194
0.84,0.04,0.12000000000000002,1826.553688970685,1.338343897382341,2533.0747240000005,0.0,0.0,207.37341584962905,315.165886344684,207.37341584962905,18,194
0.84,0.06,0.10000000000000003,1830.4869536134372,1.336848067053448,2533.0747240000005,0.0,0.0,207.37680915627837,315.5966549693895,207.37680915627837,18,194
0.84,0.08,0.08000000000000003,1834.567315403568,1.335312619905112,2533.0747240000005,0.0,0.0,207.38206259881295,316.05161740939457,207.38206259881295,18,194
0.8,0.12,0.07999999999999996,1807.2455074345226,1.3390204431297494,2533.0747240000005,0.0,0.0,207.39911431701918,316.24915099995036,207.39911431701918,18,194
0.8200000000000001,0.14,0.039999999999999925,1829.5145542201244,1.3339866675493843,2533.0747240000005,0.0,0.0,207.42443310882413,317.08932336306793,207.42443310882413,18,194
0.8200000000000001,0.06,0.11999999999999994,1812.5806533520986,1.340283512739307,2533.0747240000005,0.0,0.0,207.42727338538307,315.23286185901276,207.42727338538307,18,194
0.8,0.18,0.019999999999999962,1820.844896659573,1.334065827152606,2533.0747240000005,0.0,0.0,207.44108946064716,317.7394965343277,207.44108946064716,18,194
0.84,0.1,0.060000000000000026,1838.7949703126624,1.3337375701002576,2533.0747240000005,0.0,0.0,207.4502809251514,316.5310827628135,207.4502809251514,18,194
0.8,0.1,0.09999999999999995,1803.0074929443683,1.3405935380134026,2533.0747240000005,0.0,0.0,207.45806979861192,315.8007347333635,207.45806979861192,18,194
0.84,0.02,0.14000000000000004,1822.767346318278,1.3398000930269633,2533.0747240000005,0.0,0.0,207.46408004003166,314.7589982491358,207.46408004003166,18,194
0.8200000000000001,0.16,0.019999999999999934,1834.1056113702734,1.3323188024656107,2533.0747240000005,0.0,0.0,207.50527881352855,317.609510581626,207.50527881352855,18,194
0.86,0.06,0.08000000000000002,1848.6930618843708,1.3333141083571969,2533.0747240000005,0.0,0.0,207.51568773240433,316.0687081426935,207.51568773240433,18,194
0.78,0.2,0.019999999999999962,1807.8875063234743,1.3357195163094575,2533.0747240000005,0.0,0.0,207.5157390758579,317.9452772313903,207.5157390758579,18,194
0.84,0.12,0.040000000000000036,1843.1691528896567,1.332123306715464,2533.0747240000005,0.0,0.0,207.51713819928995,317.0349905978684,207.51713819928995,18,194
