date,f_gasoline,f_diesel,alpha_rule_gasoline,alpha_rule_diesel,rule_u_gasoline,rule_u_diesel,S_gasoline_lag,S_diesel_lag,prev_u_gasoline,prev_u_diesel
2016-01-27,-325.7853861508645,-312.9340832286773,1.0,1.0,-325.7853861508645,-312.9340832286773,0.0,0.0,0.0,0.0
2016-02-15,110.79707848275888,106.28145414750564,0.9,0.9,99.71737063448299,95.65330873275508,0.0,0.0,-325.7853861508645,-312.9340832286773
2016-02-29,56.10225768302926,54.00230941948396,0.9500000000000001,0.8,53.297144798877795,43.20184753558717,11.079707848275888,10.628145414750563,99.71737063448299,95.65330873275508
2016-03-14,285.646073078346,274.69714840930345,0.9,0.9,257.0814657705114,247.2274335683731,10.560908377944585,18.24016367422218,53.297144798877795,43.20184753558717
2016-03-28,148.44173955854455,142.81271674163784,0.9500000000000001,0.9500000000000001,141.01965258061733,135.67208090455597,35.957243172395806,40.2378294128859,257.0814657705114,247.2274335683731
2016-04-12,-101.00293960633668,-97.019321558126,0.8,0.9500000000000001,-80.80235168506935,-92.1683554802197,32.5921571986043,35.307116426102,141.01965258061733,135.67208090455597
2016-04-27,286.3362733547871,275.2972993093121,0.9,0.9,257.7026460193084,247.7675693783809,2.6139221177556777,19.864015420365106,-80.80235168506935,-92.1683554802197
2016-05-12,175.09345093333127,168.4144579798299,0.9500000000000001,0.9500000000000001,166.33877838666473,159.99373508083843,30.46337281790767,41.43454072518679,257.7026460193084,247.7675693783809
2016-05-26,191.4261860474688,184.0720033336852,0.9500000000000001,0.9500000000000001,181.85487674509537,174.86840316700093,30.079033519201914,37.42490140662221,166.33877838666473,159.99373508083843
2016-06-09,100.23322113792264,96.43735586995946,0.9500000000000001,0.9500000000000001,95.22156008102651,91.61548807646149,30.626632765814776,35.40103115131981,181.85487674509537,174.86840316700093
2016-06-23,0.0,0.0,0.0,0.0,0.0,0.0,26.450303992966468,29.602589599421847,95.22156008102651,91.61548807646149
2016-07-07,0.0,0.0,0.0,0.0,0.0,0.0,18.515212795076526,20.72181271959529,0.0,0.0
2016-07-22,-157.87590708575073,-151.48740361888989,1.0,1.0,-157.87590708575073,-151.48740361888989,12.960648956553568,14.505268903716702,0.0,0.0
2016-08-05,-222.03765488860589,-213.3250115912218,1.0,1.0,-222.03765488860589,-213.3250115912218,9.072454269587496,10.153688232601695,-157.87590708575073,-151.48740361888989
2016-08-19,127.19421024091638,122.35627221783258,0.9,0.9,114.47478921682475,110.12064499604932,6.350717988711239,7.107581762821184,-222.03765488860589,-213.3250115912218
2016-09-02,229.34423919437532,220.456264687565,0.9500000000000001,0.9500000000000001,217.87702723465657,209.43345145318676,17.164923616189498,17.210934455758093,114.47478921682475,110.12064499604932
2016-09-19,-146.9203130008538,-141.05545842572835,0.8,0.9500000000000001,-117.53625040068306,-134.00268550444193,23.48265849105141,23.0704673534089,217.87702723465657,209.43345145318676
2016-09-30,0.0,0.0,0.0,0.0,0.0,0.0,-12.946201656434766,9.096554226099812,-117.53625040068306,-134.00268550444193
2016-10-20,353.4320830964931,339.8876376195256,0.9,0.9,318.0888747868438,305.89887385757305,-9.062341159504335,6.367587958269868,0.0,0.0
2016-11-02,-55.79914273710302,-53.50471180026038,0.9500000000000001,0.8,-53.00918560024787,-42.803769440208306,28.999569497996276,38.446075332741486,318.0888747868438,305.89887385757305
2016-11-17,-284.2294865125539,-272.9682691056422,0.9500000000000001,1.0,-270.0180121869262,-272.9682691056422,17.50974151174224,16.211310372866965,-53.00918560024787,-42.803769440208306
2016-12-01,128.41453039267043,123.46754770676112,0.9,0.9,115.57307735340339,111.12079293608501,-1.9546552674081,11.347917261006899,-270.0180121869262,-272.9682691056422
2016-12-15,404.6678990806208,388.87266258842754,0.9500000000000001,0.9500000000000001,384.4345041265898,369.4290294590062,11.473194352081364,20.29029685338095,115.57307735340339,111.12079293608501
2016-12-29,77.71243352081123,74.71447030925725,0.9500000000000001,0.9500000000000001,73.82681184477067,70.9787467937944,28.26463100048801,33.646840926788,384.4345041265898,369.4290294590062
2017-01-13,0.0,0.0,0.0,0.0,0.0,0.0,23.670863376382158,27.288512164214453,73.82681184477067,70.9787467937944
2017-01-26,0.0,0.0,0.0,0.0,0.0,0.0,16.56960436346751,19.101958514950116,0.0,0.0
2017-02-15,0.0,0.0,0.0,0.0,0.0,0.0,11.598723054427255,13.37137096046508,0.0,0.0
2017-02-28,55.95744290787435,54.20873342834283,0.9,0.8,50.361698617086915,43.36698674267427,8.119106138099077,9.359959672325555,0.0,0.0
2017-03-15,-92.1522928416,-88.5277026118767,0.8,0.9500000000000001,-73.72183427328001,-84.10131748128288,11.279118587456793,17.393718456296448,50.361698617086915,43.36698674267427
2017-03-29,-255.78305247850017,-245.73197337236635,1.0,1.0,-255.78305247850017,-245.73197337236635,-10.535075557100242,7.749217788813681,-73.72183427328001,-84.10131748128288
2017-04-13,208.8070437545205,200.8545240851358,0.9,0.9,187.92633937906845,180.76907167662222,-7.374552889970175,5.424452452169589,-255.78305247850017,-245.73197337236635
