date,actual_delta,weighted_oil,h_oil,delta_X,delta_h,raw_rule_delta,rule_delta,pred_delta_no_special,carry_before,carry_after,is_special_regulated,special_type,abs_error
2016-01-14,-135,32.355334747980315,1.0,,,,,,0.0,0.0,False,mechanism_reform,
2016-01-27,0,27.320855412784375,1.0,-245.51889155073854,0.0,-312.93392743733347,-312.93392743733347,-312.93392743733347,0.0,0.0,False,threshold_no_adjust,312.93392743733347
2016-02-15,0,29.12384581012958,1.0,85.5801579918957,0.0,106.28140033825373,106.28140033825373,106.28140033825373,0.0,0.0,False,threshold_no_adjust,106.28140033825373
2016-02-29,0,30.128203042293695,1.0,44.28976298724433,0.0,54.00228174890994,54.00228174890994,54.00228174890994,0.0,0.0,False,threshold_no_adjust,54.00228174890994
2016-03-14,0,34.96816772970534,1.0,218.59592512484323,0.0,274.6970103950851,274.6970103950851,274.6970103950851,0.0,0.0,False,threshold_no_adjust,274.6970103950851
2016-03-28,0,37.33204823567177,1.0,114.43277733709851,0.0,142.81264466737997,142.81264466737997,142.81264466737997,0.0,0.0,False,threshold_no_adjust,142.81264466737997
2016-04-12,0,35.98731597137241,1.0,-74.98806433286995,0.0,-97.01927372046904,-97.01927372046904,-97.01927372046904,0.0,0.0,False,threshold_no_adjust,97.01927372046904
2016-04-27,160,40.42272383803316,1.0,219.06992805378718,0.0,275.2971609950289,275.2971609950289,275.2971609950289,0.0,0.0,False,normal,115.29716099502889
2016-05-12,115,43.118716248601146,1.0,134.6531924573403,0.0,168.41437310513885,168.41437310513885,168.41437310513885,0.0,0.0,False,normal,53.41437310513885
2016-05-26,200,45.915862757750006,1.0,147.01961956373862,0.0,184.07191063048933,184.07191063048933,184.07191063048933,0.0,0.0,False,normal,15.928089369510673
2016-06-09,110,47.499190901326656,1.0,77.80522769303343,0.0,96.43730698258798,96.43730698258798,96.43730698258798,0.0,0.0,False,normal,13.562693017412016
2016-06-23,0,47.40661358293039,1.0,0.7614739155660573,0.0,-1.1103076587030705,-1.1103076587030705,0.0,0.0,-1.1103076587030705,False,threshold_no_adjust,0.0
2016-07-07,0,46.686347962436315,1.0,1.2244057429807071,0.0,-0.5241745422369821,-1.6344822009400526,0.0,-1.1103076587030705,-1.6344822009400526,False,threshold_no_adjust,0.0
