w_wti,w_brent,w_basket,beta,alpha,pi0,lambda,lambda_factor,price_mae,price_rmse,change_mae,segments_used,rows_used
0.6000000000000001,0.05,0.3499999999999999,1785.113169097034,1.3245607107113373,2558.2387922864013,0.0,0.0,211.05773965363105,325.1881575167628,211.05773965363105,17,194
0.6000000000000001,0.0,0.3999999999999999,1784.3150931542054,1.3281432929446746,2549.8310315776625,0.0,0.0,211.17343368560097,323.1560241453615,211.17343368560097,17,194
0.55,0.0,0.44999999999999996,1780.3519707097983,1.332388755007571,2523.4763944704587,0.0,0.0,211.80263140467122,321.9593280339795,211.80263140467122,17,194
0.6000000000000001,0.1,0.29999999999999993,1765.6630407014559,1.3237016872556648,2575.8731336478195,0.0,0.0,211.8349675573816,328.48098876147014,211.8349675573816,17,194
0.65,0.0,0.35,1754.6875300850388,1.3275763347286076,2594.7352049163574,0.0,0.0,212.1794968737936,326.9368182010388,212.1794968737936,17,194
0.65,0.05,0.3,1751.5433467711919,1.3242036086842868,2606.0803315326725,0.0,0.0,212.28821585206347,329.47413816662777,212.28821585206347,17,194
0.65,0.1,0.24999999999999997,1750.005255868739,1.3205041637145678,2616.9759340836345,0.0,0.0,212.39622251099775,332.17978427259334,212.39622251099775,17,194
0.55,0.05,0.39999999999999997,1757.1409580268037,1.332361947912041,2541.8125590254613,0.0,0.0,212.63461455205334,325.0330466812925,212.63461455205334,17,194
0.65,0.15000000000000002,0.19999999999999996,1749.9442584926935,1.3165044326988409,2627.4483421645955,0.0,0.0,212.72527243483142,335.0608220160906,212.72527243483142,17,194
0.6000000000000001,0.15000000000000002,0.2499999999999999,1741.5344685693065,1.3233292412113913,2596.0623338270025,0.0,0.0,212.84039439121216,332.25970843446856,212.84039439121216,17,194
0.65,0.2,0.14999999999999997,1742.2746604996369,1.3134040598185581,2641.79008339309,0.0,0.0,213.4663005906849,338.5693638233064,213.4663005906849,17,194
0.7000000000000001,0.0,0.29999999999999993,1724.5133141180956,1.3257778719362106,2644.690869028855,0.0,0.0,213.47558918706508,331.6777005151875,213.47558918706508,17,194
0.55,0.1,0.35,1732.6022867845418,1.3324212343370645,2560.958344223895,0.0,0.0,213.64081776011685,328.3988482389393,213.64081776011685,17,194
0.7000000000000001,0.05,0.24999999999999994,1717.025619250648,1.3225904388483212,2659.4657271030997,0.0,0.0,213.76010822783795,334.7846176913065,213.76010822783795,17,194
0.5,0.0,0.5,1741.897859022876,1.3404402103305193,2515.9818485381256,0.0,0.0,214.26686870134944,323.6539680495255,214.26686870134944,17,194
0.7000000000000001,0.1,0.19999999999999993,1709.799919566494,1.3191809630291527,2674.7237216898156,0.0,0.0,214.2779235743597,338.1655627595012,214.2779235743597,17,194
0.6000000000000001,0.2,0.1999999999999999,1716.1740801238443,1.3230687770716583,2616.858212055699,0.0,0.0,214.2916110457911,336.31214489092895,214.2916110457911,17,194
