date,filtered_oil_price,delta_p_theory,carry_before,delta_p_rule,actual_change,theta_t,rule_error
2016-01-27,40.0,-179.42704479999975,0.0,-179.42704479999975,0,-0.0,-179.42704479999975
2016-02-15,40.0,-181.86529599999994,0.0,-181.86529599999994,0,-0.0,-181.86529599999994
2016-02-29,40.0,-189.02523999999903,0.0,-189.02523999999903,0,-0.0,-189.02523999999903
2016-03-14,40.0,-209.96323839999968,0.0,-209.96323839999968,0,-0.0,-209.96323839999968
2016-03-28,40.0,-207.3701775999998,0.0,-207.3701775999998,0,-0.0,-207.3701775999998
2016-04-12,40.0,-223.31556640000053,0.0,-223.31556640000053,0,-0.0,-223.31556640000053
2018-05-01,71.960252,-270.9423252542765,-28.996668479496293,-299.9389937337728,-75,0.25005084889552687,-224.9389937337728
2019-04-01,66.35500400000001,-266.8873564315545,0.0,-266.8873564315545,-225,0.8430523011969776,-41.88735643155451
2020-03-31,40.0,85.43953919999967,0.0,85.43953919999967,0,0.0,85.43953919999967
2020-04-15,40.0,79.86639360000026,0.0,79.86639360000026,0,0.0,79.86639360000026
2020-04-28,40.0,84.20106240000041,0.0,84.20106240000041,0,0.0,84.20106240000041
2020-05-14,40.0,90.35474400000021,0.0,90.35474400000021,0,0.0,90.35474400000021
2020-05-28,40.0,110.17037280000022,0.0,110.17037280000022,0,0.0,110.17037280000022
2020-06-11,40.0,78.93753600000036,0.0,78.93753600000036,0,0.0,78.93753600000036
2026-03-24,123.03444200000001,2205.668509619356,0.0,2205.668509619356,1160,0.5259176503363996,1045.668509619356
2026-04-08,119.646652,800.9196067129797,0.0,800.9196067129797,420,0.5243972010170962,380.91960671297966
2026-04-22,104.87174999999999,-360.10352039175086,0.0,-360.10352039175086,-555,1.541223477616171,194.89647960824914
2026-05-09,115.509404,697.2433149229928,0.0,697.2433149229928,320,0.4589502590431326,377.2433149229928
