date,f_gasoline,f_diesel,alpha_hat_gasoline,alpha_hat_diesel,adjusted_u_gasoline,adjusted_u_diesel,S_gasoline_lag,S_diesel_lag,prev_u_gasoline,prev_u_diesel
2016-01-27,-325.7853861508645,-312.9340832286773,1.0,1.0,-325.7853861508645,-312.9340832286773,0.0,0.0,0.0,0.0
2016-02-15,110.79707848275888,106.28145414750564,0.8488214582531967,0.847315699819854,94.04693772792926,90.05394469886546,0.0,0.0,-325.7853861508645,-312.9340832286773
2016-02-29,56.10225768302926,54.00230941948396,0.9955930109561595,0.9542832794166987,55.855015648085434,51.53350092890043,16.750140754829616,16.227509448640177,94.04693772792926,90.05394469886546
2016-03-14,285.646073078346,274.69714840930345,0.9042593612816349,0.8997181131147881,258.2981355944323,247.15000004483142,11.972340563324558,13.828065104631655,55.855015648085434,51.53350092890043
2016-03-28,148.44173955854455,142.81271674163784,0.9544451231537489,0.952469245185485,141.67949439411177,136.02472051779628,35.72857587824086,37.226793937714206,258.2981355944323,247.15000004483142
2016-04-12,-101.00293960633668,-97.019321558126,0.8654392823078402,0.9096959832222486,-87.41191156389014,-88.25808711637494,31.772248279201392,32.84675198024149,141.67949439411177,136.02472051779628
2016-04-27,286.3362733547871,275.2972993093121,0.8829680018994351,0.8895395606777599,252.82576715540685,244.88783868337924,8.649545752994428,14.231491944417982,-87.41191156389014,-88.25808711637494
2016-05-12,175.09345093333127,168.4144579798299,0.9602336666364406,0.9566065227647587,168.13062639374039,161.10636903139664,39.56518822647635,40.371504987025446,252.82576715540685,244.88783868337924
2016-05-26,191.4261860474688,184.0720033336852,0.942640155667253,0.941199425122727,180.44600981457452,173.2484637188532,34.65845629812432,35.56814243935108,168.13062639374039,161.10636903139664
2016-06-09,100.23322113792264,96.43735586995946,1.0,0.9522931073492754,100.23322113792264,91.83662928595157,35.241095641581296,35.721239322377755,180.44600981457452,173.2484637188532
2016-06-23,0.0,0.0,0.0,0.0,0.0,0.0,24.66876694910691,29.60559410967231,100.23322113792264,91.83662928595157
2016-07-07,0.0,0.0,0.0,0.0,0.0,0.0,17.268136864374835,20.723915876770615,0.0,0.0
2016-07-22,-157.87590708575073,-151.48740361888989,1.0,1.0,-157.87590708575073,-151.48740361888989,12.087695805062383,14.50674111373943,0.0,0.0
2016-08-05,-222.03765488860589,-213.3250115912218,1.0,1.0,-222.03765488860589,-213.3250115912218,8.461387063543668,10.15471877961761,-157.87590708575073,-151.48740361888989
2016-08-19,127.19421024091638,122.35627221783258,0.8571140651383988,0.849707703455084,109.01994660166,103.96706706953961,5.922970944480568,7.108303145732322,-222.03765488860589,-213.3250115912218
2016-09-02,229.34423919437532,220.456264687565,0.9179382920995734,0.9139544657713332,210.52385922896093,201.4869876184671,22.32034330039278,23.365017350305592,109.01994660166,103.96706706953961
2016-09-19,-146.9203130008538,-141.05545842572835,0.8733563086083319,0.9768776514660963,-128.3137822220064,-137.79392495339908,34.444620275689346,35.32478921431181,210.52385922896093,201.4869876184671
2016-09-30,0.0,0.0,0.0,0.0,0.0,0.0,5.504703414135136,21.465818977688997,-128.3137822220064,-137.79392495339908
2016-10-20,353.4320830964931,339.8876376195256,0.9022613859415846,0.9070740844508073,318.88812113086317,308.3032677098789,3.853292389894595,15.026073284382298,0.0,0.0
2016-11-02,-55.79914273710302,-53.50471180026038,0.5801482068215398,0.6708596908193636,-32.37177260110946,-35.894154415701834,37.24126663855617,42.10262120871431,318.88812113086317,308.3032677098789
2016-11-17,-284.2294865125539,-272.9682691056422,1.0,1.0,-284.2294865125539,-272.9682691056422,2.6415165109957606,11.86127746154147,-32.37177260110946,-35.894154415701834
2016-12-01,128.41453039267043,123.46754770676112,0.8363506525468933,0.8613677731446824,107.39957629041278,106.35096662380766,1.8490615576970413,8.302894223079022,-284.2294865125539,-272.9682691056422
2016-12-15,404.6678990806208,388.87266258842754,0.9683331153700845,0.9382381203220531,391.8533274070045,364.8551559915982,22.309297192645587,22.928607039108783,107.39957629041278,106.35096662380766
2016-12-29,77.71243352081123,74.71447030925725,1.0,0.9903364075517884,77.71243352081123,73.99246011820459,28.431079708468246,40.06753152420549,391.8533274070045,364.8551559915982
2017-01-13,0.0,0.0,0.0,0.0,0.0,0.0,19.90175579592777,28.769282257996508,77.71243352081123,73.99246011820459
2017-01-26,0.0,0.0,0.0,0.0,0.0,0.0,13.931229057149437,20.138497580597555,0.0,0.0
2017-02-15,0.0,0.0,0.0,0.0,0.0,0.0,9.751860340004605,14.096948306418287,0.0,0.0
2017-02-28,55.95744290787435,54.20873342834283,0.9743871674956239,0.9103416427858056,54.52421429530178,49.34846744249543,6.8263022380032226,9.8678638144928,0.0,0.0
2017-03-15,-92.1522928416,-88.5277026118767,0.9461915761196342,1.0,-87.19372320683159,-88.5277026118767,6.211640179174829,11.767770655992358,54.52421429530178,49.34846744249543
2017-03-29,-255.78305247850017,-245.73197337236635,1.0,1.0,-255.78305247850017,-245.73197337236635,-0.6104215093460255,8.237439459194647,-87.19372320683159,-88.5277026118767
2017-04-13,208.8070437545205,200.8545240851358,0.835206085938088,0.8387265330336576,174.39691373051613,168.46201863005123,-0.42729505654222066,5.766207621436251,-255.78305247850017,-245.73197337236635
2017-04-26,0.0,0.0,0.0,0.0,0.0,0.0,34.111023484424805,36.42885079008994,174.39691373051613,168.46201863005123
2017-05-12,-251.0601937443805,-241.06606638193543,1.0,1.0,-251.0601937443805,-241.06606638193543,23.877716439097362,25.500195553062955,0.0,0.0
2017-05-26,122.80680806009806,118.09981847380574,0.8783216534569007,0.872155760943063,107.86387871110958,103.00143704825966,16.714401507368166,17.85013688714406,-251.0601937443805,-241.06606638193543
2017-06-10,-152.71745819332847,-146.5971826938568,0.982022457637914,1.0,-149.9719736192278,-146.5971826938568,26.643010404146196,27.593477246546925,107.86387871110958,103.00143704825966
