scenario,date,month,alpha_gasoline,alpha_diesel,optimal_u_gasoline,optimal_u_diesel,optimal_price_gasoline,optimal_price_diesel,S_gasoline,S_diesel,LC,LF,LV,LT,Lpi,LE,total_loss,f_gasoline,f_diesel,u_hist_gasoline,u_hist_diesel,historical_alpha_gasoline,historical_alpha_diesel,gasoline_price_after,diesel_price_after,grid_step
equal_weight,2016-01-27,2016-01-01,0.65,0.65,-211.76050099806193,-203.40715409864026,6713.239499001938,5766.592845901359,-114.02488515280257,-109.52692913003705,-0.0010479769725934554,0.0,0.30292990601182657,0.09023510147278488,0.07613622293088661,0.0,0.0600511931387767,-325.7853861508645,-312.9340832286773,0,0,-0.0,-0.0,6925,5970,0.05
equal_weight,2016-02-15,2016-02-01,0.35,0.35,38.77897746896561,37.19850895162697,6752.018476470904,5803.791354852986,-7.799318593168522,-7.585905195147255,3.7489640287884114e-05,0.0,0.18436478310321774,0.035947528909726176,0.0,0.0,0.024913781649324302,110.79707848275888,106.28145414750564,0,0,0.0,0.0,6925,5970,0.05
equal_weight,2016-02-29,2016-02-01,0.85,0.85,47.68691903057487,45.90196300656136,6799.705395501479,5849.693317859547,2.9558156372364266,2.790212776319521,5.6216114790843706e-05,0.00024348290984303592,0.009142667940005206,0.0004925261555607745,0.0,0.0,0.0010568673264355585,56.10225768302926,54.00230941948396,0,0,0.0,0.0,6925,5970,0.05
equal_weight,2016-03-14,2016-03-01,0.9,0.9,257.0814657705114,247.2274335683731,7056.78686127199,6096.920751427921,30.633678253900086,29.422863784354035,0.0016340650537035322,0.0267091099529342,0.38371329564843354,0.005668712482906931,0.0,0.0,0.044493469312961394,285.646073078346,274.69714840930345,0,0,0.0,0.0,6925,5970,0.05
equal_weight,2016-03-28,2016-03-01,1.0,1.0,148.44173955854455,142.81271674163784,7205.228600830535,6239.733468169558,21.44357477773005,20.596004649047813,0.0005033938347145336,0.013087463876937742,0.11994656311404842,0.0,0.0,0.0,0.014441010699502252,148.44173955854455,142.81271674163784,0,0,0.0,0.0,6925,5970,0.05
equal_weight,2016-04-12,2016-04-01,0.45,0.45,-45.45132282285151,-43.6586947011567,7159.777278007683,6196.074773468402,-40.541114439074136,-38.943423602635825,-4.504107708286726e-05,0.0,0.11509861815930589,0.021411540988735718,0.0,0.0,0.015355831800028103,-101.00293960633668,-97.019321558126,0,0,-0.0,-0.0,6925,5970,0.05
equal_weight,2016-04-27,2016-04-01,0.8,0.85,229.0690186838297,234.00270441291528,7388.846296691513,6430.0774778813175,28.88847456360554,14.03419837455175,0.001254249765797299,0.013424141282942302,0.4482757524767303,0.01707575821190075,0.0,0.0,0.05054332211458829,286.3362733547871,275.2972993093121,165,160,0.576245538390295,0.5811898641992522,7090,6130,0.05
equal_weight,2016-05-12,2016-05-01,1.0,1.0,175.09345093333127,168.4144579798299,7563.939747624844,6598.491935861148,20.221932194523873,9.823938862186225,0.0006335879422278472,0.0065274342540712835,0.1312969653203749,0.0,0.0,0.0,0.014418680527371336,175.09345093333127,168.4144579798299,120,115,0.6853483060636648,0.6828392370788792,7210,6245,0.05
equal_weight,2016-05-26,2016-05-01,1.0,0.95,191.4261860474688,174.86840316700093,7755.365933672313,6773.360339028149,14.155352536166703,16.080357370214614,0.0006762746215049711,0.007047585338241879,0.1358278199970182,0.0003680860027021025,0.0,0.0,0.015039332272942635,191.4261860474688,184.0720033336852,210,200,1.097028595387286,1.0865313376170551,7420,6445,0.05
equal_weight,2016-06-09,2016-06-01,1.0,1.0,100.23322113792264,96.43735586995946,7855.599154810236,6869.797694898109,9.908746775316686,11.256250159150227,0.00018736448642615286,0.003441777913378313,0.06036080017650932,0.0,0.017969045112515736,0.0,0.006689325649615736,100.23322113792264,96.43735586995946,110,110,1.097440536692302,1.14063683110857,7530,6555,0.05
equal_weight,2016-06-23,2016-06-01,0.0,0.0,0.0,0.0,7855.599154810236,6869.797694898109,6.93612274272168,7.8793751114051584,0.0,0.0016864711775553731,0.028612866260707005,0.0,0.017969045112515736,0.0,0.0063992795582835,0.0,0.0,0,0,,,7530,6555,0.05
equal_weight,2016-07-07,2016-07-01,0.0,0.0,0.0,0.0,7855.599154810236,6869.797694898109,4.855285919905175,5.51556257798361,0.0,0.0008303898467722267,0.0,0.0,0.07613622293088661,0.0,0.0001494701724190008,0.0,0.0,0,0,,,7530,6555,0.05
equal_weight,2016-07-22,2016-07-01,0.65,0.65,-102.61933960573798,-98.46681235227842,7752.979815204498,6771.33088254583,-51.85786733607914,-49.15969746202293,-0.00019093134454451703,0.0,0.0710504688648593,0.021157558966711766,0.07613622293088661,0.0,0.024583559986035626,-157.87590708575073,-151.48740361888989,-155,-150,0.98178374940903,0.9901813379637037,7375,6405,0.05
equal_weight,2016-08-05,2016-08-01,0.7,0.7,-155.42635842202412,-149.32750811385526,7597.553456782473,6622.003374431974,-102.91180360183716,-98.40929170078257,-0.0004507003678471919,0.0,0.10249802619190503,0.0307925905174802,0.4421998112822309,0.0,0.015711342846124444,-222.03765488860589,-213.3250115912218,-220,-215,0.9908229309590386,1.0078518144510304,7155,6190,0.05
equal_weight,2016-08-19,2016-08-01,0.45,0.45,57.23739460841237,55.06032249802466,7654.790851390886,6677.063696929999,-2.0814468887820112,-1.5905544707398747,6.391142111314563e-05,0.0,0.14147749387440012,0.03401249663910804,0.4421998112822309,0.0,0.09987746886908139,127.19421024091638,122.35627221783258,175,170,1.3758487879954244,1.3893852511079008,7330,6360,0.05
equal_weight,2016-09-02,2016-09-01,0.9,0.9,206.40981527493778,198.41063821880851,7861.2006666658235,6875.474335148808,21.477411097290116,20.93223833923858,0.0008186194701758293,0.013370349775365468,0.2301351657419773,0.0036523269139415887,0.01158478430368061,0.0,0.02622494988290465,229.34423919437532,220.456264687565,205,200,0.89385284199904,0.9072094198976108,7535,6560,0.05
equal_weight,2016-09-19,2016-09-01,0.45,0.45,-66.11414085038422,-63.474956291577755,7795.086525815439,6811.99937885723,-65.77198438236653,-62.927935296683586,-7.924358200376633e-05,0.0,0.2282964457653014,0.04527576090079656,0.01158478430368061,0.0,0.03096501769391284,-146.9203130008538,-141.05545842572835,-155,-150,1.0549936685684793,1.0634115239076787,7380,6410,0.05
equal_weight,2016-09-30,2016-09-01,0.0,0.0,0.0,0.0,7795.086525815439,6811.99937885723,-46.04038906765656,-44.04955470767851,0.0,0.0,0.012416843010033866,0.0,0.01158478430368061,3.9000081373841526e-33,0.003326945475665896,0.0,0.0,0,0,,,7380,6410,0.05
equal_weight,2016-10-20,2016-10-01,0.85,0.85,300.41727063201915,288.9044919765968,8095.503796447458,7100.903870833827,20.786540117114328,20.148457347553858,0.0016675076281561986,0.012436976826490469,0.610500855720131,0.01952634251599615,0.0,0.0,0.06710363442672881,353.4320830964931,339.8876376195256,355,340,1.0044362608220794,1.000330586841173,7735,6750,0.05
equal_weight,2016-11-02,2016-11-01,0.0,0.0,-0.0,-0.0,8095.503796447458,7100.903870833827,-41.24856465512299,-39.40079165697268,0.0,0.0,0.2568679811715974,0.02155684973389806,0.0,0.0,0.029567031069261396,-55.79914273710302,-53.50471180026038,0,0,-0.0,-0.0,7735,6750,0.05
equal_weight,2016-11-17,2016-11-01,0.65,0.65,-184.74916623316003,-177.42937491866743,7910.754630214297,6923.474495915159,-128.35431553797994,-123.11944834685565,-0.0005819056123655554,0.0,0.2305246113566211,0.06864414214858686,0.0,0.0,0.035303663712181944,-284.2294865125539,-272.9682691056422,-365,-355,1.2841735897231712,1.3005174600078167,7370,6395,0.05
equal_weight,2016-12-01,2016-12-01,0.45,0.45,57.786538676701696,55.560396468042505,7968.541168890999,6979.034892383202,-19.220029160617216,-18.27646260408033,5.981990560802934e-05,0.0,0.1802965319681582,0.03464746079181774,0.0,0.0,0.024276963722352458,128.41453039267043,123.46754770676112,175,170,1.3627741305043821,1.3768800235974132,7545,6565,0.05
equal_weight,2016-12-15,2016-12-01,0.9,0.9,364.20110917255874,349.9853963295848,8332.742278063557,7329.020288712786,27.01276949563004,26.09374243598654,0.002338151157993245,0.020922006040417926,0.7862579333603581,0.011367012224036814,0.0,0.0,0.08485868383207645,404.6678990806208,388.87266258842754,435,420,1.0749555400571476,1.0800450646347357,7980,6985,0.05
