variable,x_value,alpha_target,alpha_fitted
f_gasoline,1.2731034248414517,1.0,1.0
f_gasoline,10.7763955384346,1.0,1.0
f_gasoline,20.27968765202769,1.0,1.0
f_gasoline,29.78297976562078,1.0,1.0
f_gasoline,39.28627187921387,1.0,1.0
f_gasoline,48.78956399280696,1.0,1.0
f_gasoline,58.29285610640005,1.0,1.0
f_gasoline,67.79614821999314,1.0,1.0
f_gasoline,77.29944033358623,1.0,1.0
f_gasoline,86.80273244717932,1.0,1.0
f_gasoline,96.30602456077249,1.0,1.0
f_gasoline,105.8093166743655,0.99,1.0
f_gasoline,115.31260878795864,0.98,0.9755305471997673
f_gasoline,124.8159009015518,0.96,0.9614148034564147
f_gasoline,134.31919301514483,0.96,0.9517767265458092
f_gasoline,143.82248512873798,0.95,0.9444495712437756
f_gasoline,153.325777242331,0.94,0.9385367344314618
f_gasoline,162.82906935592416,0.93,0.9335795702365113
f_gasoline,172.3323614695172,0.93,0.9293117109588679
f_gasoline,181.83565358311037,0.92,0.9255646517375462
f_gasoline,191.33894569670335,0.92,0.9222250000172709
f_gasoline,200.84223781029647,0.92,0.9192127871495147
f_gasoline,210.34552992388967,0.91,0.9164694995588782
f_gasoline,219.8488220374827,0.91,0.9139510298544606
f_gasoline,229.35211415107585,0.91,0.9116233043059927
f_gasoline,238.8554062646689,0.9,0.9094594528720362
f_gasoline,248.35869837826203,0.9,0.9074379115778144
f_gasoline,257.86199049185507,0.9,0.9055411113188626
f_gasoline,267.3652826054482,0.9,0.9037545482227336
f_gasoline,276.86857471904125,0.9,0.9020661096253496
f_gasoline,286.3718668326344,0.9,0.9004655756993902
f_gasoline,295.87515894622754,0.9,0.8989442445149199
f_gasoline,305.3784510598206,0.9,0.897494645572477
f_gasoline,314.8817431734137,0.9,0.896110317881924
f_gasoline,324.3850352870068,0.9,0.8947856358851357
f_gasoline,333.8883274005999,0.9,0.8935156713549274
f_gasoline,343.39161951419294,0.9,0.8922960827010785
f_gasoline,352.8949116277861,0.9,0.891123025404918
f_diesel,1.4586729246075265,0.91,0.9139368614206986
f_diesel,10.595822631891224,0.91,0.9139368614206986
f_diesel,19.73297233917492,0.91,0.9139368614206986
f_diesel,28.87012204645862,0.91,0.9139368614206986
f_diesel,38.00727175374232,0.91,0.9139368614206986
f_diesel,47.14442146102601,0.91,0.9139368614206986
f_diesel,56.28157116830971,0.91,0.9139368614206986
f_diesel,65.41872087559341,0.91,0.9139368614206986
f_diesel,74.5558705828771,0.91,0.9139368614206986
f_diesel,83.6930202901608,0.91,0.9139368614206986
f_diesel,92.8301699974445,0.92,0.9146250059850812
f_diesel,101.9673197047282,0.92,0.9168466675498266
f_diesel,111.1044694120119,0.92,0.9190683291145719
f_diesel,120.24161911929554,0.92,0.9212899906793173
f_diesel,129.37876882657923,0.92,0.9235116522440626
f_diesel,138.51591853386293,0.93,0.9257333138088079
f_diesel,147.65306824114663,0.93,0.9279549753735532
f_diesel,156.79021794843032,0.93,0.9301766369382986
f_diesel,165.92736765571402,0.93,0.9323982985030439
f_diesel,175.06451736299772,0.94,0.9346199600677892
f_diesel,184.20166707028145,0.94,0.9368416216325346
f_diesel,193.3388167775651,0.94,0.9390632831972799
f_diesel,202.4759664848488,0.94,0.9412849447620253
f_diesel,211.6131161921325,0.94,0.9435066063267706
f_diesel,220.7502658994162,0.95,0.9457282678915159
f_diesel,229.8874156066999,0.95,0.9479499294562612
f_diesel,239.0245653139836,0.95,0.9501715910210066
f_diesel,248.1617150212673,0.95,0.9523932525857519
f_diesel,257.298864728551,0.95,0.9546149141504973
f_diesel,266.4360144358347,0.96,0.9568365757152426
f_diesel,275.5731641431184,0.96,0.959058237279988
f_diesel,284.7103138504021,0.96,0.9612798988447333
f_diesel,293.8474635576858,0.96,0.9635015604094787
f_diesel,302.9846132649695,0.96,0.965723221974224
f_diesel,312.1217629722532,0.97,0.9679448835389692
f_diesel,321.2589126795369,0.97,0.9701665451037146
f_diesel,330.3960623868206,0.97,0.9723882066684599
f_diesel,339.5332120941043,0.97,0.9746098682332053
S_gasoline_lag,-19.77198122459403,0.88,0.8770104185234077
S_gasoline_lag,-19.023686620251684,0.88,0.8781693112798352
S_gasoline_lag,-18.275392015909343,0.88,0.8793282040362628
S_gasoline_lag,-17.527097411567,0.88,0.8804870967926903
S_gasoline_lag,-16.778802807224654,0.88,0.8816459895491179
S_gasoline_lag,-16.03050820288231,0.88,0.8828048823055453
S_gasoline_lag,-15.282213598539968,0.88,0.8839637750619729
S_gasoline_lag,-14.533918994197624,0.89,0.8851226678184004
S_gasoline_lag,-13.78562438985528,0.89,0.886281560574828
S_gasoline_lag,-13.037329785512936,0.89,0.8874404533312555
S_gasoline_lag,-12.289035181170592,0.89,0.8885993460876831
S_gasoline_lag,-11.540740576828249,0.89,0.8897582388441106
S_gasoline_lag,-10.792445972485906,0.89,0.8909171316005382
S_gasoline_lag,-10.04415136814356,0.89,0.8920760243569658
S_gasoline_lag,-9.295856763801218,0.89,0.8932349171133933
S_gasoline_lag,-8.547562159458874,0.89,0.8943938098698209
S_gasoline_lag,-7.799267555116531,0.9,0.8955527026262484
S_gasoline_lag,-7.050972950774188,0.9,0.8967115953826759
S_gasoline_lag,-6.302678346431843,0.9,0.8978704881391034
S_gasoline_lag,-5.554383742089501,0.9,0.899029380895531
S_gasoline_lag,-4.806089137747156,0.9,0.9001882736519585
