mechanism,mechanism_label,date,month,u_gasoline,u_diesel,f_gasoline,f_diesel,price_gasoline,price_diesel,S_gasoline,S_diesel,LC,LC_raw,consumer_increase_loss,consumer_decrease_reward,LF,LF_raw,LV,LV_raw,LT,LT_raw,price_gap_g,energy_A,LE,LE_raw,cpi_yoy,cpi_target,gasoline_price_before,diesel_price_before,omega_gasoline,omega_diesel,weighted_adjustment,weighted_abs_adjustment,weighted_abs_transmission_gap,Lpi,Lpi_contribution,weighted_event_loss
current,Current mechanism,2016-04-12,2016-04-01,0.0,0.0,-101.00293960633668,-97.019321558126,6925.0,5970.0,133.96355697164762,128.99732078503447,0.0,0.0,0.0,0.0,1.8954396337128991,0.4655924942587123,0.0,0.0,1.2579284474623573,0.07067663230779812,0.0,0.0026027054540915,0.0,0.0,0.023,0.03,6925.0,5970.0,0.4272388790907309,0.572761120909269,0.0,0.0,98.72127806776913,0.0,0.0,0.5255613468625425
current,Current mechanism,2016-04-27,2016-04-01,165.0,160.0,286.3362733547871,275.2972993093121,7090.0,6130.0,215.11076323494046,205.59542385883623,0.7421959617713255,0.0006539493002816971,0.0006539493002816971,0.0,3.765941984799191,1.1898585162928406,0.38688841756067543,0.18543024882921785,1.7931833817311464,0.10074989780756885,0.017704552562751566,0.00442459927195555,0.0,0.0,0.023,0.03,6925.0,5970.0,0.4272388790907309,0.572761120909269,162.13619439545363,162.13619439545363,117.87738381135887,0.0,0.0,1.1147016243103893
current,Current mechanism,2016-05-12,2016-05-01,120.0,115.0,175.09345093333127,168.4144579798299,7210.0,6245.0,205.6709851977896,197.33125468101525,0.368138606716875,0.00032436714381282736,0.00032436714381282736,0.0,3.765941984799191,1.0933265372498875,0.12946953799743943,0.062052952626590274,0.3783184899377825,0.02125580104537242,0.00807117545684176,0.014501530964730685,0.0,0.0,0.02,0.03,7090.0,6130.0,0.4211575255102041,0.5788424744897959,117.10578762755101,117.10578762755101,54.12157849747561,0.0,0.0,0.7736447699085477
current,Current mechanism,2016-05-26,2016-05-01,210.0,200.0,191.4261860474688,184.0720033336852,7420.0,6445.0,125.39587568592151,122.20388161039585,1.0792949673919623,0.0009509674332356348,0.0009509674332356348,0.0,1.6860850207903515,0.41416699134030044,0.4024710698261222,0.19289879778506197,0.03754919997711973,0.0021096994869529632,0.0,0.021555383149673278,0.0,0.0,0.02,0.03,7210.0,6245.0,0.4211575255102041,0.5788424744897959,204.21157525510205,204.21157525510205,17.042302527529827,0.0,0.0,0.5342333763309257
current,Current mechanism,2016-06-09,2016-06-01,110.0,110.0,100.23322113792264,96.43735586995946,7530.0,6555.0,78.0103341180677,71.98007299723656,0.29568208630935494,0.0002605256608865929,0.0002605256608865929,0.0,0.6113156923063663,0.150162523194091,0.15827347881797613,0.07585828168577965,0.019053641237938457,0.001070527658878446,0.0,0.015088768204771294,0.0,0.0,0.019,0.03,7420.0,6445.0,0.4302525607944327,0.5697474392055673,110.0,110.0,11.929463378068736,0.01614056263377779,0.0,0.18072081644527255
current,Current mechanism,2016-06-23,2016-06-01,0.0,0.0,0.0,0.0,7530.0,6555.0,54.60723388264739,50.38605109806559,0.0,0.0,0.0,0.0,0.29954468923011945,0.07357963636510459,0.07499903453983682,0.03594599632720204,0.0,0.0,0.0,0.010562137743339906,0.0,0.0,0.019,0.03,7530.0,6555.0,0.4302525607944327,0.5697474392055673,0.0,0.0,0.0,0.01614056263377779,0.01614056263377779,0.06511404773395565
current,Current mechanism,2016-07-07,2016-07-01,0.0,0.0,0.0,0.0,7530.0,6555.0,38.225063717853175,35.27023576864591,0.0,0.0,0.0,0.0,0.14680674345044267,0.03606135307152901,0.0,0.0,0.0,0.0,0.0,0.007393496420337934,0.0,0.0,0.018,0.03,7530.0,6555.0,0.4170589864303517,0.5829410135696483,0.0,0.0,0.0,0.06715426911777199,0.0,0.02446779057507377
current,Current mechanism,2016-07-22,2016-07-01,-155.0,-150.0,-157.87590708575073,-151.48740361888989,7375.0,6405.0,23.88163751674648,23.201761419162253,-0.5470070681184176,-0.00048196825079923516,0.0,0.00048196825079923516,0.06095566650870539,0.01497304388079983,0.34067055895823367,0.16327867066867413,0.0005984084716968961,3.3621543108681904e-05,0.0,0.005175447494236553,0.0,0.0,0.018,0.03,7530.0,6555.0,0.4170589864303517,0.5829410135696483,-152.08529493215178,152.08529493215178,2.066491467433897,0.06715426911777199,0.06715426911777199,-0.01293802751033493
current,Current mechanism,2016-08-05,2016-08-01,-220.0,-215.0,-222.03765488860589,-213.3250115912218,7155.0,6190.0,14.679491373116662,17.91622140219178,-1.1653650853137927,-0.00102680386497236,0.0,0.00102680386497236,0.031090841538259535,0.007637100228850261,0.42821763717857514,0.20523877017494319,0.00043289775212127266,2.432233352800703e-05,1.642084909894845e-05,0.015225752251635987,0.0,0.0,0.013,0.03,7375.0,6405.0,0.4219782861263571,0.5780217138736429,-217.1098914306318,217.1098914306318,1.8280257883713689,0.386382979664885,0.0,-0.11760395147413939
current,Current mechanism,2016-08-19,2016-08-01,175.0,170.0,127.19421024091638,122.35627221783258,7330.0,6360.0,-37.53014579790195,-35.10237280063316,0.7813041763419037,0.0006884075712384122,0.0006884075712384122,0.0,0.0,0.0,1.1914389951888988,0.5710401741558022,0.2942327002952455,0.016531446135627615,0.0,0.02226096558181559,0.0,0.0,0.013,0.03,7155.0,6190.0,0.4219782861263571,0.5780217138736429,172.10989143063176,172.10989143063176,47.712114417432765,0.386382979664885,0.386382979664885,0.44222647524848874
