variable,x_value,alpha_target,f_gasoline,f_diesel,S_gasoline_lag,prev_u_gasoline,cpi_yoy,alpha_fitted,residual
f_gasoline,1.2731034248414517,1.0,1.2731034248414517,161.24135002256978,15.25615638306887,0.0,0.018,1.0,0.0
f_gasoline,10.7763955384346,1.0,10.7763955384346,161.24135002256978,15.25615638306887,0.0,0.018,1.0,0.0
f_gasoline,20.27968765202769,1.0,20.27968765202769,161.24135002256978,15.25615638306887,0.0,0.018,1.0,0.0
f_gasoline,29.78297976562078,1.0,29.78297976562078,161.24135002256978,15.25615638306887,0.0,0.018,1.0,0.0
f_gasoline,39.28627187921387,1.0,39.28627187921387,161.24135002256978,15.25615638306887,0.0,0.018,1.0,0.0
f_gasoline,48.78956399280696,1.0,48.78956399280696,161.24135002256978,15.25615638306887,0.0,0.018,1.0,0.0
f_gasoline,58.29285610640005,1.0,58.29285610640005,161.24135002256978,15.25615638306887,0.0,0.018,1.0,0.0
f_gasoline,67.79614821999314,1.0,67.79614821999314,161.24135002256978,15.25615638306887,0.0,0.018,1.0,0.0
f_gasoline,77.29944033358623,1.0,77.29944033358623,161.24135002256978,15.25615638306887,0.0,0.018,1.0,0.0
f_gasoline,86.80273244717932,1.0,86.80273244717932,161.24135002256978,15.25615638306887,0.0,0.018,1.0,0.0
f_gasoline,96.30602456077249,1.0,96.30602456077249,161.24135002256978,15.25615638306887,0.0,0.018,1.0,0.0
f_gasoline,105.8093166743655,0.99,105.8093166743655,161.24135002256978,15.25615638306887,0.0,0.018,1.0,0.010000000000000009
f_gasoline,115.31260878795864,0.98,115.31260878795864,161.24135002256978,15.25615638306887,0.0,0.018,0.9755305471997673,-0.004469452800232698
f_gasoline,124.8159009015518,0.96,124.8159009015518,161.24135002256978,15.25615638306887,0.0,0.018,0.9614148034564147,0.0014148034564147594
f_gasoline,134.31919301514483,0.96,134.31919301514483,161.24135002256978,15.25615638306887,0.0,0.018,0.9517767265458092,-0.008223273454190716
f_gasoline,143.82248512873798,0.95,143.82248512873798,161.24135002256978,15.25615638306887,0.0,0.018,0.9444495712437756,-0.005550428756224357
f_gasoline,153.325777242331,0.94,153.325777242331,161.24135002256978,15.25615638306887,0.0,0.018,0.9385367344314618,-0.0014632655685381524
f_gasoline,162.82906935592416,0.93,162.82906935592416,161.24135002256978,15.25615638306887,0.0,0.018,0.9335795702365113,0.0035795702365112314
f_gasoline,172.3323614695172,0.93,172.3323614695172,161.24135002256978,15.25615638306887,0.0,0.018,0.9293117109588679,-0.0006882890411321618
f_gasoline,181.83565358311037,0.92,181.83565358311037,161.24135002256978,15.25615638306887,0.0,0.018,0.9255646517375462,0.005564651737546167
f_gasoline,191.33894569670335,0.92,191.33894569670335,161.24135002256978,15.25615638306887,0.0,0.018,0.9222250000172709,0.002225000017270884
f_gasoline,200.84223781029647,0.92,200.84223781029647,161.24135002256978,15.25615638306887,0.0,0.018,0.9192127871495147,-0.0007872128504853304
f_gasoline,210.34552992388967,0.91,210.34552992388967,161.24135002256978,15.25615638306887,0.0,0.018,0.9164694995588782,0.006469499558878211
f_gasoline,219.8488220374827,0.91,219.8488220374827,161.24135002256978,15.25615638306887,0.0,0.018,0.9139510298544606,0.003951029854460608
f_gasoline,229.35211415107585,0.91,229.35211415107585,161.24135002256978,15.25615638306887,0.0,0.018,0.9116233043059927,0.0016233043059926677
f_gasoline,238.8554062646689,0.9,238.8554062646689,161.24135002256978,15.25615638306887,0.0,0.018,0.9094594528720362,0.0094594528720362
f_gasoline,248.35869837826203,0.9,248.35869837826203,161.24135002256978,15.25615638306887,0.0,0.018,0.9074379115778144,0.007437911577814371
f_gasoline,257.86199049185507,0.9,257.86199049185507,161.24135002256978,15.25615638306887,0.0,0.018,0.9055411113188626,0.0055411113188625905
f_gasoline,267.3652826054482,0.9,267.3652826054482,161.24135002256978,15.25615638306887,0.0,0.018,0.9037545482227336,0.003754548222733578
f_gasoline,276.86857471904125,0.9,276.86857471904125,161.24135002256978,15.25615638306887,0.0,0.018,0.9020661096253496,0.002066109625349588
f_gasoline,286.3718668326344,0.9,286.3718668326344,161.24135002256978,15.25615638306887,0.0,0.018,0.9004655756993902,0.00046557569939020826
f_gasoline,295.87515894622754,0.9,295.87515894622754,161.24135002256978,15.25615638306887,0.0,0.018,0.8989442445149199,-0.0010557554850800788
f_gasoline,305.3784510598206,0.9,305.3784510598206,161.24135002256978,15.25615638306887,0.0,0.018,0.897494645572477,-0.0025053544275229767
f_gasoline,314.8817431734137,0.9,314.8817431734137,161.24135002256978,15.25615638306887,0.0,0.018,0.896110317881924,-0.0038896821180760544
f_gasoline,324.3850352870068,0.9,324.3850352870068,161.24135002256978,15.25615638306887,0.0,0.018,0.8947856358851357,-0.005214364114864312
f_gasoline,333.8883274005999,0.9,333.8883274005999,161.24135002256978,15.25615638306887,0.0,0.018,0.8935156713549274,-0.006484328645072646
f_gasoline,343.39161951419294,0.9,343.39161951419294,161.24135002256978,15.25615638306887,0.0,0.018,0.8922960827010785,-0.007703917298921503
f_gasoline,352.8949116277861,0.9,352.8949116277861,161.24135002256978,15.25615638306887,0.0,0.018,0.891123025404918,-0.008876974595082077
f_diesel,1.4586729246075265,0.91,167.8326286565802,1.4586729246075265,15.25615638306887,0.0,0.018,0.9139368614206986,0.003936861420698601
f_diesel,10.595822631891224,0.91,167.8326286565802,10.595822631891224,15.25615638306887,0.0,0.018,0.9139368614206986,0.003936861420698601
