scenario,data_scope,date,month,alpha_gasoline,alpha_diesel,optimal_u_gasoline,optimal_u_diesel,optimal_price_gasoline,optimal_price_diesel,S_gasoline,S_diesel,LC,LF,LV,LT,Lpi,LE,total_loss,f_gasoline,f_diesel,u_hist_gasoline,u_hist_diesel,historical_alpha_gasoline,historical_alpha_diesel,gasoline_price_after,diesel_price_after,grid_step
equal_weight,backtest_clean,2016-01-27,2016-01-01,1.0,1.0,-325.7853861508645,-312.9340832286773,6599.214613849135,5657.065916771323,0.0,0.0,-2.859778654659034,0.0,1.491931603529166,0.0,0.06715426911777199,0.0,-0.47914732639386737,-325.7853861508645,-312.9340832286773,0,0,-0.0,-0.0,6925,5970,0.05
equal_weight,backtest_clean,2016-02-15,2016-02-01,0.7,0.7,77.55795493793121,74.39701790325394,6676.772568787066,5731.462934674577,33.23912354482766,31.884436244251702,0.17943693127073929,0.11616733596249323,1.0111249681062193,0.136020538732264,0.0,0.0,0.16762345693809927,110.79707848275888,106.28145414750564,0,0,0.0,0.0,6925,5970,0.05
equal_weight,backtest_clean,2016-02-29,2016-02-01,1.0,1.0,56.10225768302926,54.00230941948396,6732.874826470095,5785.465244094061,23.267386481379354,22.319105370976196,0.09196130694060987,0.05692199462162167,0.028374609218865754,0.0,0.0,0.0,0.03633620377338867,56.10225768302926,54.00230941948396,0,0,0.0,0.0,6925,5970,0.05
equal_weight,backtest_clean,2016-03-14,2016-03-01,0.8,0.8,228.5168584626768,219.75771872744278,6961.3916849327725,6005.222962821504,73.41638515263475,70.56280344154399,1.496758666352373,0.5680539799803569,0.6017054590718279,0.4029745819822526,0.0,0.0,0.524753391332047,285.646073078346,274.69714840930345,0,0,0.0,0.0,6925,5970,0.05
equal_weight,backtest_clean,2016-03-28,2016-03-01,1.0,1.0,148.44173955854455,142.81271674163784,7109.833424491317,6148.0356795631415,51.39146960684431,49.393962409080785,0.5882245033359202,0.2783464501903748,0.2176520635999324,0.0,0.0,0.0,0.21674367090340962,148.44173955854455,142.81271674163784,0,0,0.0,0.0,6925,5970,0.05
equal_weight,backtest_clean,2016-04-12,2016-04-01,0.7,0.75,-70.70205772443568,-72.7644911685945,7039.131366766881,6075.271188394547,5.673146842890006,10.320943296825057,-0.1390074079616326,0.008615568042581878,0.3362021872103547,0.0934356447716359,0.0,0.0,0.004282054739249062,-101.00293960633668,-97.019321558126,0,0,-0.0,-0.0,6925,5970,0.05
equal_weight,backtest_clean,2016-04-27,2016-04-01,0.8,0.8,229.0690186838297,220.2378394474497,7268.200385450711,6295.509027841997,61.23845746098044,62.28412016963995,1.3677799504320636,0.4234329330178004,0.9700249553241935,0.40481795278097704,0.0,0.0,0.5000253943086388,286.3362733547871,275.2972993093121,165,160,0.576245538390295,0.5811898641992522,7090,6130,0.05
equal_weight,backtest_clean,2016-05-12,2016-05-01,1.0,1.0,175.09345093333127,168.4144579798299,7443.293836384042,6463.923485821827,42.8669202226863,43.598884118747975,0.7475442577569406,0.20774241732551937,0.26719002383062207,0.0,0.0,0.0,0.2416585042766157,175.09345093333127,168.4144579798299,120,115,0.6853483060636648,0.6828392370788792,7210,6245,0.05
equal_weight,backtest_clean,2016-05-26,2016-05-01,0.95,0.9,181.85487674509537,165.66480300031668,7625.148713129138,6629.588288822144,39.57815345825384,48.92641921649209,0.7168462664448743,0.23026106714403596,0.2536545119790044,0.03093229977753107,0.0,0.0,0.23846460125540525,191.4261860474688,184.0720033336852,210,200,1.097028595387286,1.0865313376170551,7420,6445,0.05
equal_weight,backtest_clean,2016-06-09,2016-06-01,1.0,1.0,100.23322113792264,96.43735586995946,7725.38193426706,6726.025644692104,27.70470742077768,34.24849345154446,0.22120492758784194,0.1122559507888902,0.11642004621309866,0.0,0.015496902948113627,0.0,0.0866707022560746,100.23322113792264,96.43735586995946,110,110,1.097440536692302,1.14063683110857,7530,6555,0.05
equal_weight,backtest_clean,2016-06-23,2016-06-01,0.0,0.0,0.0,0.0,7725.38193426706,6726.025644692104,19.393295194544375,23.973945416081122,0.0,0.0550054158865562,0.05955352575764438,0.0,0.015496902948113627,0.0,0.021818374313565148,0.0,0.0,0,0,,,7530,6555,0.05
equal_weight,backtest_clean,2016-07-07,2016-07-01,0.0,0.0,0.0,0.0,7725.38193426706,6726.025644692104,13.575306636181063,16.781761791256784,0.0,0.027151870187710675,0.0,0.0,0.06715426911777199,0.0,0.006109170792234902,0.0,0.0,0,0,,,7530,6555,0.05
equal_weight,backtest_clean,2016-07-22,2016-07-01,1.0,1.0,-157.87590708575073,-151.48740361888989,7567.50602718131,6574.538241073214,9.502714645326733,11.747233253879756,-0.5332906613720318,0.013304416391978234,0.3499286471677267,0.0,0.06715426911777199,0.0,-0.06689432985224071,-157.87590708575073,-151.48740361888989,-155,-150,0.98178374940903,0.9901813379637037,7375,6405,0.05
equal_weight,backtest_clean,2016-08-05,2016-08-01,1.0,1.0,-222.03765488860589,-213.3250115912218,7345.468372292704,6361.213229481992,6.651900251728705,8.223063277715823,-1.1029708101628328,0.006501329649956471,0.4258829065003065,0.0,0.386382979664885,0.0,-0.20411734246536656,-222.03765488860589,-213.3250115912218,-220,-215,0.9908229309590386,1.0078518144510304,7155,6190,0.05
equal_weight,backtest_clean,2016-08-19,2016-08-01,0.8,0.8,101.7553681927331,97.88501777426607,7447.223740485437,6459.098247256258,30.095172224393366,30.22739873796759,0.24724091507361057,0.10078261861866,0.705139688689244,0.07992926758460245,0.386382979664885,0.0,0.23575543437428442,127.19421024091638,122.35627221783258,175,170,1.3758487879954244,1.3893852511079008,7330,6360,0.05
