strategy,total_loss,mean_event_loss,LC_mean,LF_mean,LV_mean,Lpi_mean,LE_LT_mean,mean_abs_u_gasoline,mean_abs_u_diesel
full_transmission,52.71915569252317,0.23535337362733558,0.025966479395662743,0.0,0.7354616068156311,0.6060148147202244,0.36121186459261295,171.89011315322244,165.38195691404624
current_mechanism,84.73864512990254,0.3782975229013506,-0.009746033400975154,0.3961165551456714,0.6914031975777409,0.6051867966258307,0.9029266536260072,158.72767857142858,152.72321428571428
optimal_alpha_star,51.612843898414205,0.23041448168934914,-0.02297596471204898,0.0652120980365963,0.6685732676066359,0.5842877911749504,0.39257573181330624,162.75787821941847,156.2397711416013
simple_rule,52.670431999401195,0.2351358571401839,-0.01092102036378302,0.061153359254043194,0.683942225118418,0.6104475753121061,0.3850428531253037,162.80290870261388,157.5782316794928
