variable,x_value,alpha_target,f_diesel,S_diesel_lag,prev_u_diesel,alpha_fitted,residual
f_diesel,-391.4387644885913,1.0,-391.4387644885913,18.398814096729858,0.0,1.0,0.0
f_diesel,-382.3016147813076,1.0,-382.3016147813076,18.398814096729858,0.0,1.0,0.0
f_diesel,-373.1644650740239,1.0,-373.1644650740239,18.398814096729858,0.0,1.0,0.0
f_diesel,-364.0273153667402,1.0,-364.0273153667402,18.398814096729858,0.0,1.0,0.0
f_diesel,-354.8901656594565,1.0,-354.8901656594565,18.398814096729858,0.0,1.0,0.0
f_diesel,-345.7530159521728,1.0,-345.7530159521728,18.398814096729858,0.0,1.0,0.0
f_diesel,-336.6158662448891,1.0,-336.6158662448891,18.398814096729858,0.0,1.0,0.0
f_diesel,-327.47871653760546,1.0,-327.47871653760546,18.398814096729858,0.0,1.0,0.0
f_diesel,-318.34156683032177,1.0,-318.34156683032177,18.398814096729858,0.0,1.0,0.0
f_diesel,-309.20441712303807,1.0,-309.20441712303807,18.398814096729858,0.0,1.0,0.0
f_diesel,-300.0672674157544,1.0,-300.0672674157544,18.398814096729858,0.0,1.0,0.0
f_diesel,-290.9301177084707,1.0,-290.9301177084707,18.398814096729858,0.0,1.0,0.0
f_diesel,-281.792968001187,0.99,-281.792968001187,18.398814096729858,0.0,1.0,0.010000000000000009
f_diesel,-272.6558182939033,0.99,-272.6558182939033,18.398814096729858,0.0,1.0,0.010000000000000009
f_diesel,-263.5186685866196,0.99,-263.5186685866196,18.398814096729858,0.0,1.0,0.010000000000000009
f_diesel,-254.38151887933589,0.99,-254.38151887933589,18.398814096729858,0.0,1.0,0.010000000000000009
f_diesel,-245.2443691720522,0.99,-245.2443691720522,18.398814096729858,0.0,1.0,0.010000000000000009
f_diesel,-236.1072194647685,0.99,-236.1072194647685,18.398814096729858,0.0,1.0,0.010000000000000009
f_diesel,-226.9700697574848,0.99,-226.9700697574848,18.398814096729858,0.0,1.0,0.010000000000000009
f_diesel,-217.8329200502011,0.99,-217.8329200502011,18.398814096729858,0.0,0.9980015294948078,0.008001529494807813
