date,before_u_gasoline,before_u_diesel,before_price_gasoline,before_price_diesel,before_LC,before_LF,before_LV,before_LT,before_LE,before_Lpi_contribution,before_weighted_event_loss,after_u_gasoline,after_u_diesel,after_price_gasoline,after_price_diesel,after_LC,after_LF,after_LV,after_LT,after_LE,after_Lpi_contribution,after_weighted_event_loss,f_gasoline,f_diesel,alpha_hat_gasoline,alpha_hat_diesel
2016-01-27,-325.7853861508645,-312.9340832286773,6599.214613849135,5657.065916771323,-2.859778654659034,0.0,1.491931603529166,0.0,0.0,0.06715426911777199,-0.21678213033534927,-325.7853861508645,-312.9340832286773,6599.214613849135,5657.065916771323,-2.859778654659034,0.0,1.491931603529166,0.0,0.0,0.06715426911777199,-0.21678213033534927,-325.7853861508645,-312.9340832286773,1.0,1.0
2016-02-15,110.79707848275888,106.28145414750564,6710.011692331894,5763.347370918828,0.36619781891987613,0.0,1.2270302855327457,0.0,0.0,0.0,0.2655380174087702,94.04693772792926,90.05394469886546,6693.261551577065,5747.119861470188,0.2632578879175465,0.02985209046902599,1.1137338430437649,0.0349370598217726,0.0,0.0,0.24029681354201823,110.79707848275888,106.28145414750564,0.8488214582531967,0.847315699819854
2016-02-29,56.10225768302926,54.00230941948396,6766.113950014923,5817.349680338312,0.09098594334390564,0.0,0.04328328056017416,0.0,0.0,0.0,0.02237820398401329,55.855015648085434,51.53350092890043,6749.11656722515,5798.653362399088,0.08604431313999919,0.01911262798436287,0.03340194737181687,0.00046960589484526066,0.0,0.0,0.02317141573183736,56.10225768302926,54.00230941948396,0.9955930109561595,0.9542832794166987
2016-03-14,285.646073078346,274.69714840930345,7051.7600230932685,6092.046828747616,2.31410432276215,0.0,0.9771600759056364,0.0,0.0,0.0,0.5485440664446308,258.2981355944323,247.15000004483142,7007.414702819582,6045.8033624439195,1.891462886134001,0.14861061482761623,0.7848296325223741,0.09748428971287226,0.0,0.0,0.48706457053281044,285.646073078346,274.69714840930345,0.9042593612816349,0.8997181131147881
2016-03-28,148.44173955854455,142.81271674163784,7200.201762651813,6234.859545489254,0.5722010751123308,0.0,0.29116627825586533,0.0,0.0,0.0,0.1438945588946993,141.67949439411177,136.02472051779628,7149.094197213693,6181.828082961716,0.5273717386003486,0.1163623087101609,0.24304291035208458,0.005935826648856191,0.0,0.0,0.14878546405190832,148.44173955854455,142.81271674163784,0.9544451231537489,0.952469245185485
2016-04-12,-101.00293960633668,-97.019321558126,7099.198823045476,6137.840223931128,-0.2528189366969549,0.0,0.45158338008041415,0.0,0.0,0.0,0.033127407230576535,-87.41191156389014,-88.25808711637494,7061.682285649803,6093.5699958453415,-0.20499330113977723,0.016960630600658992,0.3833367397822996,0.015619507214415157,0.0,0.0,0.0351539294095994,-101.00293960633668,-97.019321558126,0.8654392823078402,0.9096959832222486
2016-04-27,286.3362733547871,275.2972993093121,7385.535096400264,6413.13752324044,2.096560693248266,0.0,1.5564848552509971,0.0,0.0,0.0,0.6088409247498769,252.82576715540685,244.88783868337924,7314.508052805209,6338.457834528721,1.6714216672108078,0.17746821015264222,1.225557289433737,0.1299575478568926,0.0,0.0,0.5340674524423464,286.3362733547871,275.2972993093121,0.8829680018994351,0.8895395606777599
2016-05-12,175.09345093333127,168.4144579798299,7560.628547333595,6581.55198122027,0.7217116893936001,0.0,0.32319812531439973,0.0,0.0,0.0,0.17415163578466658,168.13062639374039,161.10636903139664,7482.63867919895,6499.564203560118,0.6769644891773675,0.13734747213155327,0.2733902301149436,0.006647834317989717,0.0,0.0,0.18239167095697564,175.09345093333127,168.4144579798299,0.9602336666364406,0.9566065227647587
2016-05-26,191.4261860474688,184.0720033336852,7752.054733381064,6765.623984553955,0.820282705912258,0.0,0.30024712654026203,0.0,0.0,0.0,0.18675497207541994,180.44600981457452,173.2484637188532,7663.084689013524,6672.812667278971,0.7447463860265141,0.13980567014356482,0.26584595824114815,0.015322205390985631,0.0,0.0,0.19428670330036873,191.4261860474688,184.0720033336852,0.942640155667253,0.941199425122727
2016-06-09,100.23322113792264,96.43735586995946,7852.287954518986,6862.061340423915,0.21301788005974936,0.0,0.13116368615228058,0.0,0.0,0.0,0.05736359436867163,100.23322113792264,91.83662928595157,7763.317910151447,6764.649296564923,0.20602538739646806,0.08538231417759364,0.11815776987084878,0.0016087666581127646,0.0,0.0,0.06852903968383718,100.23322113792264,96.43735586995946,1.0,0.9522931073492754
