date,weighted_oil_mean,filtered_oil_price,exchange_rate,previous_actual,theory_price,delta_p_theory,carry_before,stacked_change,delta_p_rule,carry_after,actual_change,actual_after,is_changed,is_special_regulated,rule_error,abs_rule_error
2016-01-27,27.043460000000003,40.0,6.5773,6925.0,6699.850103999999,-225.1498960000008,0.0,-225.1498960000008,-225.1498960000008,0.0,0,6925,False,True,-225.1498960000008,225.1498960000008
2016-02-15,27.9361,40.0,6.571,6925.0,6697.26408,-227.73592000000008,0.0,-227.73592000000008,-227.73592000000008,0.0,0,6925,False,True,-227.73592000000008,227.73592000000008
2016-02-29,30.7133,40.0,6.5525,6925.0,6689.6702000000005,-235.32979999999952,0.0,-235.32979999999952,-235.32979999999952,0.0,0,6925,False,True,-235.32979999999952,235.32979999999952
2016-03-14,36.465329999999994,40.0,6.4984,6925.0,6667.463232,-257.53676799999994,0.0,-257.53676799999994,-257.53676799999994,0.0,0,6925,False,True,-257.53676799999994,257.53676799999994
2016-03-28,37.4581,40.0,6.5051,6925.0,6670.213448,-254.78655199999957,0.0,-254.78655199999957,-254.78655199999957,0.0,0,6925,False,True,-254.78655199999957,254.78655199999957
2016-04-12,36.698280000000004,40.0,6.4639,6925.0,6653.301672,-271.6983280000004,0.0,-271.6983280000004,-271.6983280000004,0.0,0,6925,False,True,-271.6983280000004,271.6983280000004
2016-04-27,40.8815,40.8815,6.494,6925.0,6724.401538782,-200.598461218,0.0,-200.598461218,-200.598461218,0.0,165,7090,True,False,-365.598461218,365.598461218
2016-05-12,42.85246000000001,42.85246000000001,6.514,7090.0,6864.54416660328,-225.45583339671975,0.0,-225.45583339671975,-225.45583339671975,0.0,120,7210,True,False,-345.45583339671975,345.45583339671975
2016-05-26,46.472120000000004,46.472120000000004,6.554,7210.0,7125.582252713761,-84.41774728623932,0.0,-84.41774728623932,-84.41774728623932,0.0,210,7420,True,False,-294.4177472862393,294.4177472862393
2016-06-09,47.98892,47.98892,6.559,7420.0,7230.0602062853595,-189.93979371464047,0.0,-189.93979371464047,-189.93979371464047,0.0,110,7530,True,False,-299.9397937146405,299.9397937146405
2016-06-23,46.894400000000005,46.894400000000005,6.574,7530.0,7163.6082078272,-366.3917921727998,0.0,-366.3917921727998,-366.3917921727998,0.0,0,7530,False,False,-366.3917921727998,366.3917921727998
2016-07-07,46.3621,46.3621,6.679,7530.0,7177.6536050658,-352.34639493420036,0.0,-352.34639493420036,-352.34639493420036,0.0,0,7530,False,False,-352.34639493420036,352.34639493420036
2016-07-22,43.88862,43.88862,6.676,7530.0,7006.7703831054405,-523.2296168945595,0.0,-523.2296168945595,-523.2296168945595,0.0,-155,7375,True,False,-368.2296168945595,368.2296168945595
2016-08-05,40.2283,40.2283,6.653,7375.0,6746.5101855338,-628.4898144662002,0.0,-628.4898144662002,-628.4898144662002,0.0,-220,7155,True,False,-408.4898144662002,408.4898144662002
2016-08-19,44.919889999999995,44.919889999999995,6.6515,7155.0,7066.12806121377,-88.8719387862302,0.0,-88.8719387862302,-88.8719387862302,0.0,175,7330,True,False,-263.8719387862302,263.8719387862302
2016-09-02,45.25617,45.25617,6.679,7330.0,7101.85327567066,-228.14672432934003,0.0,-228.14672432934003,-228.14672432934003,0.0,205,7535,True,False,-433.14672432934003,433.14672432934003
2016-09-19,43.57897,43.57897,6.665,7535.0,6980.6372552831,-554.3627447169001,0.0,-554.3627447169001,-554.3627447169001,0.0,-155,7380,True,False,-399.3627447169001,399.3627447169001
2016-09-30,44.619150000000005,44.619150000000005,6.6685,7380.0,7053.384231815051,-326.61576818494905,0.0,-326.61576818494905,-326.61576818494905,0.0,0,7380,False,False,-326.61576818494905,326.61576818494905
2016-10-20,49.45073000000001,49.45073000000001,6.7439,7380.0,7422.282364318315,42.28236431831465,0.0,42.28236431831465,0.0,42.28236431831465,355,7735,True,False,-355.0,355.0
