date,actual_delta,raw_rule_delta,rule_delta,pred_delta_no_special,carry_before,carry_after,is_special_regulated,special_type,abs_error
2016-01-14,-135,,,,0.0,0.0,False,mechanism_reform,
2016-01-27,0,-287.6915833278345,-287.6915833278345,-287.6915833278345,0.0,0.0,False,threshold_no_adjust,287.6915833278345
2016-02-15,0,100.27544290635174,100.27544290635174,100.27544290635174,0.0,0.0,False,threshold_no_adjust,100.27544290635174
2016-02-29,0,51.8932086954174,51.8932086954174,51.8932086954174,0.0,0.0,False,threshold_no_adjust,51.8932086954174
2016-03-14,0,256.1373570015892,256.1373570015892,256.1373570015892,0.0,0.0,False,threshold_no_adjust,256.1373570015892
2016-03-28,0,134.0836490666772,134.0836490666772,134.0836490666772,0.0,0.0,False,threshold_no_adjust,134.0836490666772
2016-04-12,0,-87.87120326826206,-87.87120326826206,-87.87120326826206,0.0,0.0,False,threshold_no_adjust,87.87120326826206
2016-04-27,160,256.69277238868443,256.69277238868443,256.69277238868443,0.0,0.0,False,normal,96.69277238868443
2016-05-12,115,157.77702521577115,157.77702521577115,157.77702521577115,0.0,0.0,False,normal,42.77702521577115
2016-05-26,200,172.26745022979213,172.26745022979213,172.26745022979213,0.0,0.0,False,normal,27.732549770207868
2016-06-09,110,91.16512805828918,91.16512805828918,91.16512805828918,0.0,0.0,False,normal,18.834871941710816
2016-06-23,0,0.8887105202374722,0.8887105202374722,0.0,0.0,0.8887105202374722,False,threshold_no_adjust,0.0
2016-07-07,0,1.4311532867735053,2.3198638070109774,0.0,0.8887105202374722,2.3198638070109774,False,threshold_no_adjust,0.0
2016-07-22,-150,-136.7665637652659,-134.4466999582549,-134.4466999582549,2.3198638070109774,0.0,False,normal,15.553300041745103
2016-08-05,-215,-195.50741584442946,-195.50741584442946,-195.50741584442946,0.0,0.0,False,normal,19.49258415557054
2016-08-19,170,115.15203694442965,115.15203694442965,115.15203694442965,0.0,0.0,False,normal,54.84796305557035
2016-09-02,200,205.93961268718041,205.93961268718041,205.93961268718041,0.0,0.0,False,normal,5.939612687180414
2016-09-19,-150,-128.62486706205974,-128.62486706205974,-128.62486706205974,0.0,0.0,False,normal,21.375132937940265
2016-09-30,0,-16.321905919674833,-16.321905919674833,0.0,0.0,-16.321905919674833,False,threshold_no_adjust,0.0
2016-10-20,340,334.70667954884374,318.3847736291689,318.3847736291689,-16.321905919674833,0.0,False,normal,21.615226370831124
2016-11-02,0,-47.6001917233086,-47.6001917233086,0.0,0.0,-47.6001917233086,False,threshold_no_adjust,0.0
2016-11-17,-355,-250.70483862512518,-298.3050303484338,-298.3050303484338,-47.6001917233086,0.0,False,normal,56.694969651566225
2016-12-01,170,116.18047746804417,116.18047746804417,116.18047746804417,0.0,0.0,False,normal,53.819522531955826
2016-12-15,420,361.8021779719173,361.8021779719173,361.8021779719173,0.0,0.0,False,normal,58.197822028082726
2016-12-29,95,71.06147597287392,71.06147597287392,71.06147597287392,0.0,0.0,False,normal,23.93852402712608
2017-01-13,70,34.399673913200935,34.399673913200935,0.0,0.0,34.399673913200935,False,normal,70.0
2017-01-26,-70,-55.54536689206083,-21.14569297885989,0.0,34.399673913200935,-21.14569297885989,False,normal,70.0
2017-02-15,50,56.461336377286806,35.315643398426914,0.0,-21.14569297885989,35.315643398426914,False,normal,50.0
2017-02-28,0,22.517368117633477,57.833011516060395,57.833011516060395,35.315643398426914,0.0,False,threshold_no_adjust,57.833011516060395
2017-03-15,-85,-80.0125533453371,-80.0125533453371,-80.0125533453371,0.0,0.0,False,normal,4.987446654662904
2017-03-29,-220,-225.4987483942859,-225.4987483942859,-225.4987483942859,0.0,0.0,False,normal,5.4987483942859114
2017-04-13,190,187.79899447885782,187.79899447885782,187.79899447885782,0.0,0.0,False,normal,2.2010055211421786
2017-04-26,0,5.2478462555873415,5.2478462555873415,0.0,0.0,5.2478462555873415,False,threshold_no_adjust,0.0
2017-05-12,-235,-224.5122311759219,-219.26438492033455,-219.26438492033455,5.2478462555873415,0.0,False,normal,15.73561507966545
2017-05-26,135,111.21286114071572,111.21286114071572,111.21286114071572,0.0,0.0,False,normal,23.787138859284283
2017-06-10,-175,-133.7535087578627,-133.7535087578627,-133.7535087578627,0.0,0.0,False,normal,41.246491242137296
2017-06-24,-240,-186.92276412998868,-186.92276412998868,-186.92276412998868,0.0,0.0,False,normal,53.07723587001132
2017-07-07,0,7.2763248425417295,7.2763248425417295,0.0,0.0,7.2763248425417295,False,threshold_no_adjust,0.0
2017-07-22,75,49.09934400077308,56.37566884331481,56.37566884331481,7.2763248425417295,0.0,False,normal,18.624331156685187
2017-08-05,165,140.43432998610956,140.43432998610956,140.43432998610956,0.0,0.0,False,normal,24.56567001389044
2017-08-18,0,0.581119186504054,0.581119186504054,0.0,0.0,0.581119186504054,False,threshold_no_adjust,0.0
2017-09-01,0,-76.1585955728841,-75.57747638638004,-75.57747638638004,0.581119186504054,0.0,False,threshold_no_adjust,75.57747638638004
2017-09-16,95,96.80704869066147,96.80704869066147,96.80704869066147,0.0,0.0,False,normal,1.8070486906614747
2017-09-30,195,199.8224514359335,199.8224514359335,199.8224514359335,0.0,0.0,False,normal,4.822451435933488
2017-10-19,0,-17.186710713298325,-17.186710713298325,0.0,0.0,-17.186710713298325,False,threshold_no_adjust,0.0
2017-11-03,150,122.25681524377335,105.07010453047502,105.07010453047502,-17.186710713298325,0.0,False,normal,44.92989546952498
2017-11-17,250,204.16796878247635,204.16796878247635,204.16796878247635,0.0,0.0,False,normal,45.83203121752365
2017-11-30,0,11.785566030539664,11.785566030539664,0.0,0.0,11.785566030539664,False,threshold_no_adjust,0.0
2017-12-14,0,22.40263670536185,34.18820273590151,0.0,11.785566030539664,34.18820273590151,False,threshold_no_adjust,0.0
2017-12-29,70,-7.712247920554404,26.47595481534711,0.0,34.18820273590151,26.47595481534711,False,normal,70.0
2018-01-13,175,182.12703035681884,208.60298517216594,208.60298517216594,26.47595481534711,0.0,False,normal,33.602985172165944
2018-01-27,60,31.246522931917013,31.246522931917013,0.0,0.0,31.246522931917013,False,normal,60.0
2018-02-10,-160,-51.854571357461865,-20.60804842554485,0.0,31.246522931917013,-20.60804842554485,False,normal,160.0
2018-03-01,-185,-108.96032731318998,-129.56837573873483,-129.56837573873483,-20.60804842554485,0.0,False,normal,55.43162426126517
2018-03-14,0,-54.136916096289674,-54.136916096289674,-54.136916096289674,0.0,0.0,False,threshold_no_adjust,54.136916096289674
2018-03-29,165,99.47534655637048,99.47534655637048,99.47534655637048,0.0,0.0,False,normal,65.52465344362952
2018-04-13,50,40.0491943955873,40.0491943955873,0.0,0.0,40.0491943955873,False,normal,50.0
2018-04-27,245,243.4202277694396,283.4694221650269,283.4694221650269,40.0491943955873,0.0,False,normal,38.46942216502691
2018-05-01,-65,17.66087986645267,17.66087986645267,0.0,0.0,17.66087986645267,False,normal,65.0
2018-05-12,165,81.42716792453567,99.08804779098834,99.08804779098834,17.66087986645267,0.0,False,normal,65.91195220901166
2018-05-26,250,208.01353363452327,208.01353363452327,208.01353363452327,0.0,0.0,False,normal,41.98646636547673
2018-06-09,-125,-182.20094273346703,-182.20094273346703,-182.20094273346703,0.0,0.0,False,normal,57.20094273346703
2018-06-26,-55,59.59218858686288,59.59218858686288,59.59218858686288,0.0,0.0,False,normal,114.59218858686287
2018-07-10,260,280.71030267591135,280.71030267591135,280.71030267591135,0.0,0.0,False,normal,20.71030267591135
2018-07-24,-120,-43.319262300780565,-43.319262300780565,0.0,0.0,-43.319262300780565,False,normal,120.0
2018-08-07,70,8.78328063065291,-34.535981670127654,0.0,-43.319262300780565,-34.535981670127654,False,normal,70.0
2018-08-21,-50,-120.49572491846956,-155.03170658859722,-155.03170658859722,-34.535981670127654,0.0,False,normal,105.03170658859722
2018-09-04,170,131.32083049416124,131.32083049416124,131.32083049416124,0.0,0.0,False,normal,38.67916950583876
2018-09-18,145,80.3067666567768,80.3067666567768,80.3067666567768,0.0,0.0,False,normal,64.6932333432232
2018-10-01,230,173.67245633293035,173.67245633293035,173.67245633293035,0.0,0.0,False,normal,56.32754366706965
2018-10-20,160,115.93674055440701,115.93674055440701,115.93674055440701,0.0,0.0,False,normal,44.06325944559299
