variable,x_value,alpha_target,f_gasoline,f_diesel,S_diesel_lag,prev_u_diesel,cpi_yoy,alpha_fitted,residual
f_gasoline,1.2731034248414517,0.87,1.2731034248414517,161.24135002256978,18.398814096729858,0.0,0.018,0.8798153582613268,0.009815358261326845
f_gasoline,10.7763955384346,0.87,10.7763955384346,161.24135002256978,18.398814096729858,0.0,0.018,0.8809573814206915,0.01095738142069147
f_gasoline,20.27968765202769,0.87,20.27968765202769,161.24135002256978,18.398814096729858,0.0,0.018,0.8820994045800561,0.012099404580056095
f_gasoline,29.78297976562078,0.88,29.78297976562078,161.24135002256978,18.398814096729858,0.0,0.018,0.8832414277394206,0.0032414277394205993
f_gasoline,39.28627187921387,0.88,39.28627187921387,161.24135002256978,18.398814096729858,0.0,0.018,0.8843834508987852,0.004383450898785224
f_gasoline,48.78956399280696,0.88,48.78956399280696,161.24135002256978,18.398814096729858,0.0,0.018,0.8855254740581497,0.0055254740581497375
f_gasoline,58.29285610640005,0.88,58.29285610640005,161.24135002256978,18.398814096729858,0.0,0.018,0.8866674972175144,0.006667497217514362
f_gasoline,67.79614821999314,0.88,67.79614821999314,161.24135002256978,18.398814096729858,0.0,0.018,0.8878095203768789,0.007809520376878876
f_gasoline,77.29944033358623,0.88,77.29944033358623,161.24135002256978,18.398814096729858,0.0,0.018,0.8889515435362435,0.0089515435362435
f_gasoline,86.80273244717932,0.89,86.80273244717932,161.24135002256978,18.398814096729858,0.0,0.018,0.890093566695608,9.356669560800501e-05
f_gasoline,96.30602456077249,0.89,96.30602456077249,161.24135002256978,18.398814096729858,0.0,0.018,0.8912355898549726,0.0012355898549726296
f_gasoline,105.8093166743655,0.89,105.8093166743655,161.24135002256978,18.398814096729858,0.0,0.018,0.8923776130143373,0.0023776130143372542
f_gasoline,115.31260878795864,0.89,115.31260878795864,161.24135002256978,18.398814096729858,0.0,0.018,0.8935196361737018,0.003519636173701768
f_gasoline,124.8159009015518,0.89,124.8159009015518,161.24135002256978,18.398814096729858,0.0,0.018,0.8946616593330664,0.0046616593330663925
f_gasoline,134.31919301514483,0.89,134.31919301514483,161.24135002256978,18.398814096729858,0.0,0.018,0.8958036824924309,0.005803682492430906
