direction,initial_n,initial_mae,initial_rmse,initial_r2,refit_n,refit_mae,refit_rmse,refit_r2
downward,74.0,0.014589741184091159,0.025826518461978955,0.9117359820712541,74.0,0.014589741184091159,0.025826518461978955,0.9117359820712541
upward,101.0,0.033198987744749144,0.05037940117554217,0.44221117334336724,101.0,0.033198987744749144,0.05037940117554217,0.44221117334336724
