segment_id,start_date,end_date,rows,time_weight_days,segment_mae,beta,alpha,pi0,lambda
1,2016-05-12,2016-09-30,9,141,51.432528472908615,2575.9660261705253,1.0260116263400478,2575.966026170524,0.0
2,2016-11-02,2017-07-07,15,247,46.7580432811681,2106.886185190151,1.4639855917876905,2106.886185190149,0.0
3,2017-08-05,2018-01-27,8,175,44.14269920741549,2346.649454902203,1.2980008422951674,2346.649454902202,0.0
4,2018-02-10,2018-06-09,8,119,64.37078337565549,1936.8844428623786,1.5726668887908968,1936.8844428623777,0.0
5,2018-06-26,2018-10-01,8,97,105.06424981430041,2239.9214206985494,1.365882696633979,2239.9214206985503,0.0
6,2018-10-20,2019-01-29,8,101,89.74745970282015,2047.9308487560224,1.563745428766056,2047.930848756023,0.0
7,2019-02-15,2019-06-12,8,117,71.6082929452266,3139.376622655774,0.7768584364611135,3139.3766226557746,0.0
8,2019-06-26,2019-11-05,8,132,64.14172370798497,3378.0491247733935,0.5269593621903332,3378.049124773395,0.0
9,2019-11-19,2020-07-24,8,248,66.80519149322242,2021.5166160730605,1.4265869470521362,2021.5166160730614,0.0
10,2020-09-04,2021-01-16,8,134,45.033859955837556,2224.4458426199903,1.232662993138388,2224.4458426199903,0.0
11,2021-01-30,2021-05-28,8,118,52.05972922385865,2150.945044127016,1.3231653819643419,2150.9450441270155,0.0
13,2022-04-29,2022-08-10,8,103,129.27309181929581,698.135774599013,1.776609115042172,1815.152290795211,0.0
14,2022-08-24,2022-12-20,8,118,120.045529508041,-10873.427596910895,3.308020948950035,7243.181636301896,0.0
15,2023-01-04,2023-05-17,8,133,46.68805157518,2555.578908316833,1.3509039693655078,1697.0740387135959,0.0
16,2023-05-31,2024-08-22,28,449,53.33588098948063,4243.911257686289,1.233242473116194,382.93734974412166,0.0
17,2024-09-21,2025-03-06,8,166,99.80623167269505,3055.756880673236,0.8495737067870957,3055.756880673235,0.0
18,2025-03-20,2026-03-10,19,355,52.29175812142038,-150.9120228506795,1.2045126795211063,4840.272839204101,0.0
