scenario,data_scope,date,month,alpha_gasoline,alpha_diesel,optimal_u_gasoline,optimal_u_diesel,optimal_price_gasoline,optimal_price_diesel,S_gasoline,S_diesel,LC,LF,LV,LT,Lpi,LE,total_loss,f_gasoline,f_diesel,u_hist_gasoline,u_hist_diesel,historical_alpha_gasoline,historical_alpha_diesel,gasoline_price_after,diesel_price_after,grid_step
consumer_priority,backtest_clean,2016-01-27,2016-01-01,1.0,1.0,-325.7853861508645,-312.9340832286773,6599.214613849135,5657.065916771323,0.0,0.0,-2.859778654659034,0.0,1.491931603529166,0.0,0.06715426911777199,0.0,-0.639661574227139,-325.7853861508645,-312.9340832286773,0,0,-0.0,-0.0,6925,5970,0.01
consumer_priority,backtest_clean,2016-02-15,2016-02-01,0.7,0.68,77.55795493793121,72.27138882030384,6676.772568787066,5729.337305591626,33.23912354482766,34.0100653272018,0.17309491681330139,0.12570976905128683,1.0035234112935727,0.1467383382192822,0.0,0.0,0.23056448764297016,110.79707848275888,106.28145414750564,0,0,0.0,0.0,6925,5970,0.01
consumer_priority,backtest_clean,2016-02-29,2016-02-01,0.93,0.92,52.175099645217216,49.682124665925244,6728.9476684322835,5779.019430257552,27.194544519191396,28.12723048259997,0.07850445729356859,0.08529697111786437,0.02544309674926283,0.0022409888915753936,0.0,0.0,0.03936868513428893,56.10225768302926,54.00230941948396,0,0,0.0,0.0,6925,5970,0.01
consumer_priority,backtest_clean,2016-03-14,2016-03-01,0.79,0.77,225.66039773189334,211.51680427516365,6954.608066164177,5990.536234532716,79.02185650988662,82.86940547195977,1.4163603578405723,0.7329729918276653,0.5754202775295523,0.49509073392676406,0.0,0.0,0.677395867811929,285.646073078346,274.69714840930345,0,0,0.0,0.0,6925,5970,0.01
consumer_priority,backtest_clean,2016-03-28,2016-03-01,0.94,0.92,139.53523518503187,131.38769940230682,7094.143301349209,6121.923933935022,64.22180393043331,69.43360116970285,0.5079682137885057,0.5035541620146292,0.19726864041357883,0.01416892744012591,0.0,0.0,0.2524893063181184,148.44173955854455,142.81271674163784,0,0,0.0,0.0,6925,5970,0.01
consumer_priority,backtest_clean,2016-04-12,2016-04-01,0.9,0.91,-90.90264564570302,-88.28758261789466,7003.240655703506,6033.636351317128,34.85496879066965,39.871781878560654,-0.2148140053869626,0.1598284310280176,0.37960402047733266,0.011212810312807029,0.0,0.0,0.012646135038453183,-101.00293960633668,-97.019321558126,0,0,-0.0,-0.0,6925,5970,0.01
consumer_priority,backtest_clean,2016-04-27,2016-04-01,0.8,0.78,229.0690186838297,214.73189346126344,7232.309674387336,6248.368244778391,81.66573282442619,88.4756531630411,1.3421229616258281,0.81623008691201,1.011537002217829,0.45346030235272056,0.0,0.0,0.7220087232953065,286.3362733547871,275.2972993093121,165,160,0.576245538390295,0.5811898641992522,7090,6130,0.01
consumer_priority,backtest_clean,2016-05-12,2016-05-01,0.93,0.92,162.8369093679981,154.9413013414435,7395.146583755334,6403.3095461198345,69.4225545424315,75.40611385251518,0.6462675323326627,0.5930220477301029,0.23771180657364455,0.02183719134109787,0.0,0.0,0.313240206090077,175.09345093333127,168.4144579798299,120,115,0.6853483060636648,0.6828392370788792,7210,6245,0.01
consumer_priority,backtest_clean,2016-05-26,2016-05-01,0.9,0.89,172.28356744272193,163.82408296697983,7567.430151198056,6567.133629086814,67.73840678444893,73.03220006346598,0.6894386411744385,0.5591090644365608,0.2393360680142988,0.050733394705700596,0.0,0.0,0.3257165861542499,191.4261860474688,184.0720033336852,210,200,1.097028595387286,1.0865313376170551,7420,6445,0.01
consumer_priority,backtest_clean,2016-06-09,2016-06-01,1.0,1.0,100.23322113792264,96.43735586995946,7667.663372335978,6663.570984956774,47.416884749114246,51.122540044426174,0.2251118551977726,0.2731763589718818,0.1117438705798917,0.0,0.015487013656342629,0.0,0.12142238869658004,100.23322113792264,96.43735586995946,110,110,1.097440536692302,1.14063683110857,7530,6555,0.01
consumer_priority,backtest_clean,2016-06-23,2016-06-01,0.0,0.0,0.0,0.0,7667.663372335978,6663.570984956774,33.19181932437997,35.78577803109832,0.0,0.13385641589622205,0.05955352575764438,0.0,0.015487013656342629,0.0,0.029245573743429246,0.0,0.0,0,0,,,7530,6555,0.01
consumer_priority,backtest_clean,2016-07-07,2016-07-01,0.0,0.0,0.0,0.0,7667.663372335978,6663.570984956774,23.234273527065977,25.05004462176882,0.0,0.06586378261842311,0.0,0.0,0.06715426911777199,0.0,0.009220929566579229,0.0,0.0,0,0,,,7530,6555,0.01
consumer_priority,backtest_clean,2016-07-22,2016-07-01,1.0,1.0,-157.87590708575073,-151.48740361888989,7509.787465250228,6512.0835813378835,16.263991468946188,17.535031235238165,-0.5425984826961945,0.03227325348302731,0.3499286471677267,0.0,0.06715426911777199,0.0,-0.09986968104126473,-157.87590708575073,-151.48740361888989,-155,-150,0.98178374940903,0.9901813379637037,7375,6405,0.01
consumer_priority,backtest_clean,2016-08-05,2016-08-01,1.0,1.0,-222.03765488860589,-213.3250115912218,7287.749810361622,6298.758569746662,11.38479402826232,12.274521864666724,-1.1226442566664139,0.0157893525697885,0.4258829065003065,0.0,0.386382979664885,0.0,-0.2749591607301109,-222.03765488860589,-213.3250115912218,-220,-215,0.9908229309590386,1.0078518144510304,7155,6190,0.01
consumer_priority,backtest_clean,2016-08-19,2016-08-01,0.77,0.76,97.93954188550562,92.99076688555276,7385.689352247127,6391.749336632215,37.22402417519437,37.95767063754654,0.2294798783957746,0.15713266213085877,0.6804297847168392,0.11113211308783852,0.386382979664885,0.0,0.2557548190627913,127.19421024091638,122.35627221783258,175,170,1.3758487879954244,1.3893852511079008,7330,6360,0.01
consumer_priority,backtest_clean,2016-09-02,2016-09-01,0.84,0.82,192.64916092327528,180.7741370438033,7578.338513170403,6572.5234736760185,62.75189519373609,66.25249709004427,0.8518236650941768,0.46796262076405143,0.34494416246825105,0.192047198119496,0.018386805911220314,4.848003718912676e-05,0.39624744412271123,229.34423919437532,220.456264687565,205,200,0.89385284199904,0.9072094198976108,7535,6560,0.01
