scenario,date,month,alpha_gasoline,alpha_diesel,optimal_u_gasoline,optimal_u_diesel,optimal_price_gasoline,optimal_price_diesel,S_gasoline,S_diesel,LC,LF,LV,Lpi,LE,total_loss,f_gasoline,f_diesel,u_hist_gasoline,u_hist_diesel,historical_alpha_gasoline,historical_alpha_diesel,gasoline_price_after,diesel_price_after,grid_step
equal_weight,2016-01-27,2016-01-01,0.0,0.0,-0.0,-0.0,6925.0,5970.0,-325.7853861508645,-312.9340832286773,0.0,0.0,0.0,0.0,0.0,0.0,-325.7853861508645,-312.9340832286773,0,0,-0.0,-0.0,6925,5970,0.05
equal_weight,2016-02-15,2016-02-01,0.0,0.0,0.0,0.0,6925.0,5970.0,-117.25269182284626,-112.77240411256845,0.0,0.0,0.0,0.0,0.0,0.0,110.79707848275888,106.28145414750564,0,0,0.0,0.0,6925,5970,0.05
equal_weight,2016-02-29,2016-02-01,0.0,0.0,0.0,0.0,6925.0,5970.0,-25.974626592963112,-24.938373459313958,0.0,0.0,0.0,0.0,0.0,0.0,56.10225768302926,54.00230941948396,0,0,0.0,0.0,6925,5970,0.05
equal_weight,2016-03-14,2016-03-01,0.75,0.75,214.23455480875947,206.02286130697757,7139.23455480876,6176.022861306978,53.22927965451231,51.217425680806116,0.0010912023517722102,0.08081228290667339,0.3104589786008116,0.0,0.0,0.07847249277185145,285.646073078346,274.69714840930345,0,0,0.0,0.0,6925,5970,0.05
equal_weight,2016-03-28,2016-03-01,1.0,1.0,148.44173955854455,142.81271674163784,7287.676294367304,6318.835578048615,37.26049575815861,35.85219797656427,0.0004910509864533366,0.03959801862426994,0.0986818314079404,0.0,0.0,0.027754180203732735,148.44173955854455,142.81271674163784,0,0,0.0,0.0,6925,5970,0.05
equal_weight,2016-04-12,2016-04-01,0.0,0.0,-0.0,-0.0,7287.676294367304,6318.835578048615,-74.92059257562565,-71.922782974531,0.0,0.0,0.06275069222888921,0.0,0.0,0.012550138445777842,-101.00293960633668,-97.019321558126,0,0,-0.0,-0.0,6925,5970,0.05
equal_weight,2016-04-27,2016-04-01,0.65,0.65,186.11857768061165,178.94324455105289,7473.794872047915,6497.778822599668,47.77328087123752,46.00810667608752,0.0007379938812139529,0.06515911807805827,0.23425499075228198,0.0,0.0,0.06003042054231085,286.3362733547871,275.2972993093121,165,160,0.576245538390295,0.5811898641992522,7090,6130,0.05
equal_weight,2016-05-12,2016-05-01,1.0,1.0,175.09345093333127,168.4144579798299,7648.888322981246,6666.193280579499,33.44129660986627,32.20567467326126,0.0006200107558894338,0.03193814921269564,0.12049027605192922,0.0,0.0,0.03060968720410286,175.09345093333127,168.4144579798299,120,115,0.6853483060636648,0.6828392370788792,7210,6245,0.05
equal_weight,2016-05-26,2016-05-01,1.0,1.0,191.4261860474688,184.0720033336852,7840.314509028715,6850.265283913184,23.408907626906398,22.543972271282883,0.0007051322029096582,0.015649693114220868,0.14431642887741017,0.0,0.0,0.03213425083890814,191.4261860474688,184.0720033336852,210,200,1.097028595387286,1.0865313376170551,7420,6445,0.05
equal_weight,2016-06-09,2016-06-01,1.0,1.0,100.23322113792264,96.43735586995946,7940.547730166638,6946.702639783144,16.38623533883448,15.780780589898015,0.00018323686635860948,0.007664693662474511,0.06303505617205338,0.0,0.0,0.0141765973401773,100.23322113792264,96.43735586995946,110,110,1.097440536692302,1.14063683110857,7530,6555,0.05
