variable,x_value,alpha_target,alpha_fitted
S_gasoline_lag,31.860346475027683,0.95,0.9536990601961345
S_gasoline_lag,32.608641079370024,0.95,0.952459590826269
S_gasoline_lag,33.35693568371237,0.95,0.9512201214564036
S_gasoline_lag,34.10523028805471,0.95,0.9499806520865381
S_gasoline_lag,34.853524892397054,0.95,0.9487411827166727
S_gasoline_lag,35.6018194967394,0.95,0.9475017133468072
S_gasoline_lag,36.35011410108174,0.95,0.9462622439769418
S_gasoline_lag,37.098408705424085,0.95,0.9450227746070764
S_gasoline_lag,37.84670330976643,0.94,0.9437833052372109
S_gasoline_lag,38.59499791410877,0.94,0.9425438358673455
S_gasoline_lag,39.34329251845112,0.94,0.9413043664974801
S_gasoline_lag,40.09158712279346,0.94,0.9400648971276147
prev_u_gasoline,-393.4071035992978,1.0,1.0
prev_u_gasoline,-384.393938626157,1.0,1.0
prev_u_gasoline,-375.38077365301626,1.0,1.0
prev_u_gasoline,-366.3676086798755,1.0,1.0
prev_u_gasoline,-357.3544437067347,1.0,1.0
prev_u_gasoline,-348.3412787335939,1.0,1.0
prev_u_gasoline,-339.3281137604532,1.0,1.0
prev_u_gasoline,-330.3149487873124,1.0,1.0
prev_u_gasoline,-321.30178381417164,1.0,1.0
prev_u_gasoline,-312.2886188410308,1.0,1.0
prev_u_gasoline,-303.27545386789006,1.0,1.0
prev_u_gasoline,-294.2622888947493,1.0,1.0
prev_u_gasoline,-285.24912392160854,1.0,1.0
prev_u_gasoline,-276.2359589484678,1.0,1.0
prev_u_gasoline,-267.222793975327,1.0,1.0
prev_u_gasoline,-258.20962900218626,1.0,1.0
prev_u_gasoline,-249.19646402904547,1.0,1.0
prev_u_gasoline,-240.1832990559047,1.0,1.0
prev_u_gasoline,-231.17013408276392,1.0,1.0
prev_u_gasoline,-222.1569691096232,1.0,1.0
prev_u_gasoline,-213.1438041364824,1.0,1.0
prev_u_gasoline,-204.1306391633416,1.0,1.0
prev_u_gasoline,-195.11747419020085,1.0,1.0
prev_u_gasoline,-186.1043092170601,1.0,1.0
prev_u_gasoline,-177.0911442439193,1.0,1.0
prev_u_gasoline,-168.07797927077854,1.0,1.0
prev_u_gasoline,-159.06481429763778,1.0,1.0
prev_u_gasoline,-150.05164932449702,1.0,1.0
prev_u_gasoline,-141.03848435135623,1.0,1.0
prev_u_gasoline,-132.02531937821544,1.0,1.0
prev_u_gasoline,-123.01215440507468,1.0,0.9994812525504339
prev_u_gasoline,-113.99898943193392,1.0,0.9981419303265101
prev_u_gasoline,-104.98582445879316,0.99,0.9968026081025865
prev_u_gasoline,-95.9726594856524,0.99,0.9954632858786627
prev_u_gasoline,-86.95949451251164,0.99,0.9941239636547391
prev_u_gasoline,-77.94632953937088,0.99,0.9927846414308155
prev_u_gasoline,-68.93316456623006,0.99,0.9914453192068917
prev_u_gasoline,-59.9199995930893,0.99,0.9901059969829681
prev_u_gasoline,-50.90683461994854,0.99,0.9887666747590443
prev_u_gasoline,-41.89366964680778,0.99,0.9874273525351207
prev_u_gasoline,-32.88050467366702,0.98,0.986088030311197
prev_u_gasoline,-23.86733970052626,0.98,0.9847487080872733
prev_u_gasoline,-14.85417472738544,0.98,0.9834093858633496
prev_u_gasoline,-5.841009754244681,0.98,0.982070063639426
prev_u_gasoline,3.17215521889608,0.98,0.9807307414155023
prev_u_gasoline,12.18532019203684,0.98,0.9793914191915786
prev_u_gasoline,21.1984851651776,0.98,0.9780520969676549
prev_u_gasoline,30.21165013831836,0.98,0.9767127747437312
prev_u_gasoline,39.22481511145918,0.97,0.9753734525198076
prev_u_gasoline,48.23798008459994,0.97,0.9740341302958838
prev_u_gasoline,57.2511450577407,0.97,0.9726948080719602
prev_u_gasoline,66.26431003088146,0.97,0.9713554858480365
prev_u_gasoline,75.27747500402222,0.97,0.9700161636241128
prev_u_gasoline,84.29063997716298,0.97,0.9686768414001892
prev_u_gasoline,93.30380495030374,0.97,0.9673375191762654
prev_u_gasoline,102.31696992344456,0.97,0.9659981969523418
prev_u_gasoline,111.33013489658532,0.96,0.964658874728418
prev_u_gasoline,120.34329986972602,0.96,0.9633195525044944
prev_u_gasoline,129.3564648428669,0.96,0.9619802302805707
prev_u_gasoline,138.36962981600766,0.96,0.960640908056647
prev_u_gasoline,147.38279478914842,0.96,0.9593015858327234
prev_u_gasoline,156.39595976228918,0.96,0.9579622636087997
prev_u_gasoline,165.40912473542994,0.96,0.956622941384876
prev_u_gasoline,174.4222897085707,0.96,0.9552836191609523
prev_u_gasoline,183.43545468171143,0.96,0.9539442969370286
prev_u_gasoline,192.44861965485225,0.95,0.9526049747131049
prev_u_gasoline,201.46178462799296,0.95,0.9512656524891813
prev_u_gasoline,210.47494960113372,0.95,0.9499263302652576
prev_u_gasoline,219.4881145742745,0.95,0.9485870080413339
prev_u_gasoline,228.5012795474153,0.95,0.9472476858174103
prev_u_gasoline,237.51444452055603,0.95,0.9459083635934865
prev_u_gasoline,246.5276094936969,0.95,0.9445690413695629
prev_u_gasoline,255.5407744668377,0.94,0.9432297191456391
prev_u_gasoline,264.5539394399784,0.94,0.9418903969217155
prev_u_gasoline,273.5671044131192,0.94,0.9405510746977918
prev_u_gasoline,282.58026938625994,0.94,0.9392117524738681
prev_u_gasoline,291.5934343594007,0.94,0.9378724302499444
prev_u_gasoline,300.60659933254146,0.93,0.9365331080260207
prev_u_gasoline,309.6197643056822,0.93,0.9351937858020971
prev_u_gasoline,318.632929278823,0.93,0.9338544635781734
prev_u_gasoline,327.6460942519638,0.93,0.9325151413542497
