mechanism,mechanism_label,LC_sum,LF_sum,LV_sum,LT_sum,LE_sum,Lpi_sum,weighted_LC,weighted_LF,weighted_LV,weighted_LT,weighted_LE,weighted_Lpi,total_loss
current,Current mechanism,-2.1831114818184343,88.7301083526304,154.87431625741397,120.64733862200619,81.6082317902194,64.75498723896389,-0.36385191363640557,14.78835139210506,25.812386042902318,20.107889770334356,13.601371965036563,10.792497873160645,84.73864512990254
optimal,Welfare-optimal model,-5.146616095498971,14.607509960197573,149.76041194388645,6.876127277367694,81.06083664881291,62.5187936557197,-0.8577693492498282,2.4345849933662613,24.960068657314398,1.1460212128946152,13.510139441468812,10.419798942619945,51.612843898414205
